Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-4.170076017303411126e-02,-1.427587581599194522e+00,4.654130512576114612e-03,4.657991702035809145e-01
-5.659690315714579339e-02,-5.937297903239810437e-02,9.363036483678996089e-03,4.963308711194075462e-03
-4.172325088855742548e-02,1.542552276995368343e+00,4.081606472000710861e-03,-5.326955098370265151e-01
-1.824306133603456268e-02,8.122810576911736469e-01,-4.217815917471220283e-03,-2.978682967128886139e-01
-6.758568901961385308e-03,3.382595301215294281e-01,-8.619131549321590313e-03,-1.424726703402280636e-01
9.223684440434134699e-03,1.262274278612161904e+00,-1.454655519828662764e-02,-4.504289752133230351e-01
3.696980564980955480e-02,1.518295431285671349e+00,-2.433804929387869270e-02,-5.292262672516705457e-01
5.840651634541267623e-02,6.244289887397652672e-01,-3.186429285464501687e-02,-2.233925266422865374e-01
5.715060506938596241e-02,-7.493762580750017444e-01,-3.172070876685646051e-02,2.376271690111856350e-01
3.794673319842134518e-02,-1.172028622461588121e+00,-2.546610906017937950e-02,3.879146186048568756e-01
1.948189602564320139e-02,-6.788111873742013191e-01,-1.928352918511312339e-02,2.307463502123968668e-01
6.046570253341328194e-03,-6.667068547494942043e-01,-1.468337850483331444e-02,2.294474610939106485e-01
-7.264825167085914477e-03,-6.663831707664904513e-01,-1.009856807316793226e-02,2.292091441398109719e-01
-2.068715113522449911e-02,-6.778322366342918182e-01,-5.507961255824376894e-03,2.300297178416166599e-01
-2.747504796062731625e-02,-1.474648523175137171e-03,-3.205732829274868158e-03,2.797236894968579968e-04
-2.772856147087232603e-02,-2.391063028582435246e-02,-3.179789324601749265e-03,2.317394147137370828e-03
-2.843408270206049596e-02,-4.673829463018233654e-02,-3.112812903767121428e-03,4.388710060985840170e-03
-2.960325167597750370e-02,-7.034023640658304544e-02,-3.003786052689985230e-03,6.528301133292646261e-03
-1.962067481488555948e-02,1.068332486328950282e+00,-6.710037399555284984e-03,-3.770831537121149823e-01
8.556316154492961401e-03,1.753938357541430015e+00,-1.654866300814620411e-02,-6.071480362384260587e-01
2.989666590965020174e-02,3.809954406190517728e-01,-2.407484932111744053e-02,-1.456404461074198020e-01
3.778393126347452669e-02,4.088741646374436933e-01,-2.701052978543886166e-02,-1.480303838480394041e-01
3.926760748919945476e-02,-2.603562332246645017e-01,-2.768067419431869541e-02,8.096585776168245541e-02
3.437479934264359160e-02,-2.296299524833372019e-01,-2.609059539029454436e-02,7.810619653059540368e-02
3.472272780964535954e-02,2.644015727556651152e-01,-2.609872181429805788e-02,-7.889285579631527545e-02
4.031088752127491570e-02,2.952199934033805095e-01,-2.770306982473967616e-02,-8.161429142211601429e-02
4.656597556390514037e-02,3.312105239735327888e-01,-2.936638389319718226e-02,-8.479971602400411534e-02
5.359893598793439434e-02,3.731516342156589450e-01,-3.109860535594502484e-02,-8.851773022327406870e-02
6.153815501997157711e-02,4.220186251323936322e-01,-3.291120905652863970e-02,-9.285388803780118827e-02
6.575038965797046220e-02,-6.998383373989502942e-04,-3.326305670487327004e-02,5.763258371992459328e-02
6.151403676835867640e-02,-4.228378773829332138e-01,-3.060716808637576128e-02,2.079297653274544133e-01
5.831553564785301597e-02,1.019140596482041028e-01,-2.804821201696421767e-02,4.808289559154690918e-02
6.084830044034471308e-02,1.517518022679657241e-01,-2.713183695011453858e-02,4.352032053009665530e-02
7.878986805548424122e-02,1.654892509303334425e+00,-3.097548146994796164e-02,-4.288557885887887000e-01
9.813797850111979915e-02,2.706757940972388532e-01,-3.493911979658353983e-02,3.315679241001179278e-02
9.944096828338722105e-02,-1.403751586173082322e-01,-3.278370101428290662e-02,1.823599292840540342e-01
1.125850754559413747e-01,1.468956849438636914e+00,-3.394230209037908674e-02,-2.993246847793256671e-01
1.516527789837359697e-01,2.478736128313260956e+00,-4.247353367476718045e-02,-5.571656406407881068e-01
1.837884674874842306e-01,6.808704272069758812e-01,-4.811468148139834422e-02,-2.610647500974838664e-03
1.933503151934254927e-01,2.722307026086255854e-01,-4.668292658833185504e-02,1.460063328184951492e-01
2.178915011142552871e-01,2.262220237321911132e+00,-4.826385056493179282e-02,-3.107142150360773791e-01
2.490594678254327288e-01,7.719192722200816092e-01,-5.041426061797905228e-02,1.024538856695515476e-01
2.599582880340628455e-01,3.086435560362718045e-01,-4.684412715204220451e-02,2.552993584576200847e-01
2.475655812536111111e-01,-1.495035731446250793e+00,-3.730611429399399714e-02,6.940358241390409688e-01
2.340658299696409539e-01,9.433949487149728697e-02,-2.655601092524932649e-02,3.852622068553746004e-01
2.314422839862438908e-01,-3.548183024970970045e-01,-1.733466405085447998e-02,5.366959425043846821e-01
2.275297042670111347e-01,-3.975866620973117493e-02,-6.887096013950069068e-03,5.083461707840292165e-01
2.186630881477904242e-01,-8.359597791619141072e-01,5.671845798987322496e-03,7.466122080855915888e-01
1.947735241087388547e-01,-1.533213514900078067e+00,2.292006796856622258e-02,9.765604090711884622e-01
1.885896242325809380e-01,8.926998994332857595e-01,3.633718525413884293e-02,3.670857245662490498e-01
2.091028188701002377e-01,1.171669160136302512e+00,4.344188810317364813e-02,3.422832050813837124e-01
2.478071152683295197e-01,2.836440177948591490e+00,4.726059882958741354e-02,2.815185373210993269e-02
2.896024201082099125e-01,1.153826847258853538e+00,5.196167290817831075e-02,4.576800009500159860e-01
2.878059570219453356e-01,-1.315417946164728402e+00,6.607953781609957056e-02,9.525158190670377500e-01
2.914662793035720512e-01,1.724252554566760853e+00,8.026814419921511623e-02,4.628296442139573363e-01
3.002559142376799994e-01,-9.415642542384934366e-01,9.456038102152632130e-02,9.743853331339574764e-01
2.711551657286112027e-01,-1.879679251043094190e+00,1.166230016791625634e-01,1.224423296775096093e+00
2.234575662040390598e-01,-2.810804977075092026e+00,1.442527545494568797e-01,1.531934052890727926e+00
1.544506453669779178e-01,-4.020739745581187741e+00,1.794165412808411686e-01,1.978674463342991352e+00
9.151834284675472442e-02,-2.374692694194012077e+00,2.146240834663066255e-01,1.550592703861080057e+00
6.216979933654619150e-02,-5.877912659223738512e-01,2.400600632859070660e-01,9.953910427134915473e-01
6.761671730468091224e-02,1.136076160725661754e+00,2.544757212452344319e-01,4.459598061159941729e-01
7.660083042699876443e-02,-2.407856011491480430e-01,2.679991572444697656e-01,9.065570161093745583e-01
6.764764908793415021e-02,-6.543331445349329645e-01,2.876180466940520541e-01,1.055302899133420791e+00
5.755044269800212164e-02,-3.578985924149697961e-01,3.078833452595206577e-01,9.714582000993721156e-01
6.037785426882428391e-02,6.416971035677667690e-01,3.241561106379331481e-01,6.557777868297280932e-01
5.949295184880640242e-02,-7.296320213878983996e-01,3.418726361553167670e-01,1.115757981802645293e+00
5.489706365645559416e-02,2.678355337387300361e-01,3.610291923781718815e-01,8.001338187643658451e-01
7.029532915190066233e-02,1.279265398188355718e+00,3.738724189716242097e-01,4.836238325670037530e-01
8.214697618076058361e-02,-9.864705594204825623e-02,3.881484377748667391e-01,9.442650901839870770e-01
8.334417690190806804e-02,2.186502296393824374e-01,4.061776258565025222e-01,8.586424686796696459e-01
9.094165728546274585e-02,5.433213038589620458e-01,4.224904667113902890e-01,7.724633925126611622e-01
1.052146626262978335e-01,8.888627584455790487e-01,4.370648808142648667e-01,6.845736604063847874e-01
1.293680815994105449e-01,1.541524107158288581e+00,4.490560526284867460e-01,5.133056675278333536e-01
1.457068284979833317e-01,7.607437534866123841e-02,4.639875690467394342e-01,9.810947662120657053e-01
1.459411173477266344e-01,-5.258425168595790011e-02,4.842766929833297596e-01,1.047801813360516032e+00
1.574597023412780683e-01,1.219817160445227922e+00,5.018522373513486512e-01,7.085241783321920561e-01
1.752224007679479278e-01,5.474398598740892741e-01,5.182952372939451102e-01,9.364635829287561997e-01
2.008698816900571504e-01,2.074068260500212535e+00,5.334644635627359133e-01,5.757901720726544825e-01
2.726489603480960477e-01,5.715177872705377027e+00,5.389666302992123237e-01,-7.641187326236642541e-02
4.487466803222897038e-01,6.394735063985183210e+00,5.336096752071818328e-01,1.249429216705752119e-02
5.297080351357585926e-01,2.587928469779410712e+00,5.344757825319438327e-01,-3.183338987905122257e-03
