Angle (rad),Angular Velocity (rad/s)
3.004047914115385964e+00,4.027231679534462594e-01
3.005334260607693597e+00,-2.734249238788656333e-01
2.998465277963363373e+00,-4.131408751790938139e-01
2.994329178233546163e+00,1.635679878000506626e-03
3.012017710367871803e+00,1.739071966381860124e+00
3.064691016777644883e+00,3.477669439856140521e+00
3.117247215081712319e+00,1.803823525147660201e+00
3.141792558533667901e+00,6.503118458582239914e-01
3.152455259302945567e+00,4.145755931599069966e-01
3.144469246969930687e+00,-1.211315599423000711e+00
3.134158816100094835e+00,1.814895458447771670e-01
3.140152911140185132e+00,4.170443653086195468e-01
3.134635475598023913e+00,-9.679161898725034963e-01
3.124641286400023255e+00,-2.983126278213532601e-02
3.110290714338241891e+00,-1.405587140122808165e+00
3.094145994921316145e+00,-2.032417058613686933e-01
3.095188900688427225e+00,3.071586024746648658e-01
3.087616587835481763e+00,-1.065768657523977758e+00
3.076257112862084142e+00,-6.534406597119768456e-02
3.073124285761042351e+00,-2.476557642831435924e-01
3.056716542660556701e+00,-1.398515241826369770e+00
3.041748764585460840e+00,-8.669922314023548182e-02
3.058207118859234352e+00,1.715253311911150824e+00
3.095132818675010000e+00,1.972254664461098539e+00
3.148536092306658318e+00,3.362941284793682151e+00
3.211327947694415652e+00,2.918673529698247116e+00
3.288263719643565786e+00,4.887784328208839568e+00
3.372985293576985288e+00,3.459863941721953662e+00
3.442950706998962662e+00,3.589347146468400584e+00
3.559721787047231079e+00,3.971425695526963118e+00
3.604665960717968520e+00,1.138724316005723658e+00
3.634691272647673443e+00,1.802513973299002537e+00
3.661471045694557613e+00,9.418311560068217680e-01
3.675877214134286586e+00,5.157128777202668601e-01
3.689840547416704197e+00,8.714651810425970702e-01
3.703883400692332462e+00,5.442371636904697052e-01
3.708852812274445299e+00,-4.074666678760840988e-02
3.718961160048408932e+00,1.031726478092675148e+00
3.748719985384559639e+00,1.900400947655259909e+00
3.793220151541119023e+00,2.509180118076880461e+00
3.847707910853055413e+00,2.911300369100033425e+00
3.909419258465287150e+00,3.237260448141121572e+00
3.972847963838604723e+00,3.114977489176648628e+00
4.036843634697796723e+00,3.276674458125952594e+00
4.102298203780301300e+00,3.271091481636075660e+00
4.166935478455448205e+00,3.198682188970597196e+00
4.231832707430470464e+00,3.289348967886027708e+00
4.296584652983201025e+00,3.193486196905567009e+00
4.361674402431957809e+00,3.313418153972756741e+00
4.429177416395605249e+00,3.435073746788111837e+00
4.498652658710108554e+00,3.513549802595653304e+00
4.569311815486287287e+00,3.557096401975954336e+00
4.641207976611909203e+00,3.636533071645132953e+00
4.714895063433046651e+00,3.737917884408460178e+00
4.790913570607874483e+00,3.867942617181510556e+00
4.870044743727334868e+00,4.053685092607627993e+00
4.953316187187388309e+00,4.283324737561923001e+00
5.041142573037072694e+00,4.507680869599592022e+00
5.134028002259594992e+00,4.793143858486581976e+00
5.234076258095386791e+00,5.235820149250827171e+00
5.343636711415816976e+00,5.753088636258245181e+00
5.466498246803791261e+00,6.607370652633710151e+00
5.617225607355769590e+00,8.789276932476727922e+00
5.861979674190623157e+00,2.000000000000000000e+01
6.216703215055847664e+00,1.245670215514098800e+01
6.454653922982538816e+00,1.238627704927563045e+01
6.810674217924600704e+00,1.099830851599019610e+01
6.988843263873596889e+00,7.698664966601062254e+00
7.122385888275032606e+00,5.883615896204409168e+00
7.229022137349207178e+00,4.862213087266107792e+00
7.319136809828435730e+00,4.188957057532142869e+00
7.398211452911197306e+00,3.738978525766377903e+00
7.471238184249570757e+00,3.567632664099550155e+00
7.539425508511293117e+00,3.261650761471269089e+00
7.602485430296219704e+00,3.049924011689471914e+00
7.662184362305257679e+00,2.921228550421372638e+00
7.719197316790198826e+00,2.781952108880697772e+00
7.773289607127672696e+00,2.630553832014686400e+00
7.824473333425315147e+00,2.491348671950934790e+00
7.873091369019409314e+00,2.372380323845522554e+00
7.919438654021627499e+00,2.263945230054706048e+00
7.963462190036207922e+00,2.137426958195860482e+00
8.005061655311124014e+00,2.022348230859106089e+00
8.044630831768779800e+00,1.935497354470003595e+00
8.082157517132809943e+00,1.816651907094676499e+00
8.117617406976643579e+00,1.729730798152659732e+00
8.151460969459341399e+00,1.655198027963715290e+00
8.183846809695928926e+00,1.583890071580680958e+00
8.214705753804631527e+00,1.502147572131088848e+00
8.242780854359269327e+00,1.303034557465091448e+00
8.268001211059745614e+00,1.218964561437614114e+00
8.290677802855183742e+00,1.047196653568814195e+00
8.311488972329044600e+00,1.034898843240066535e+00
8.332311266357871560e+00,1.048677437723003480e+00
8.351175563273425695e+00,8.358441741988258400e-01
8.367450742756840754e+00,7.920185003421750247e-01
8.383571531661326404e+00,8.212630200121990853e-01
8.398138466524837753e+00,6.341551988153940611e-01
8.407615453458131327e+00,3.117428331521499008e-01
8.411861813081209505e+00,1.124798505362273604e-01
8.412893660886497926e+00,-9.340115362208134542e-03
8.410701073626862367e+00,-2.096916396377188907e-01
8.406337616981609528e+00,-2.268538286889538735e-01
8.400595654197072548e+00,-3.471299917199164309e-01
8.392462508310574165e+00,-4.658949597425686151e-01
8.383432540418615631e+00,-4.378118101115884286e-01
8.374212361059365506e+00,-4.844011605462784642e-01
8.363130127326424912e+00,-6.232787770282439688e-01
8.348201989397679768e+00,-8.676314189370865071e-01
8.331020521522113143e+00,-8.516871026769224917e-01
8.313295200489628556e+00,-9.209478349042068412e-01
8.292681834849499722e+00,-1.138287683728330890e+00
8.269243203291598121e+00,-1.205792464633710148e+00
8.243314859641834857e+00,-1.385203471273571241e+00
8.214788352310513631e+00,-1.467505705249380510e+00
8.185141544509095368e+00,-1.498447629566187711e+00
8.153730567880922209e+00,-1.641415758844231298e+00
8.120264951019406041e+00,-1.705979094645508454e+00
8.085638657787695749e+00,-1.758059599114936367e+00
8.049191812238099430e+00,-1.885803624812487644e+00
8.010362205168984673e+00,-1.997013585984301232e+00
7.969020678870188057e+00,-2.135654560309347527e+00
