Angle (rad),Angular Velocity (rad/s)
2.990435376428548064e+00,-9.628726370280812352e-01
2.972510315294016436e+00,-8.245394671481562909e-01
2.969610338702957542e+00,5.391660224551531044e-01
3.001774554672201223e+00,2.609032496845024696e+00
3.035793351282335628e+00,8.333104145724195000e-01
3.067925732769565261e+00,2.353396290990388273e+00
3.114936650477094116e+00,2.348220822761210247e+00
3.178099874292489524e+00,3.978228581816890319e+00
3.251349835393183341e+00,3.345317002435497677e+00
3.322599003402079365e+00,3.826324996838685433e+00
3.435156043685621441e+00,8.827577439384027613e+00
3.642245337891681700e+00,5.778436460720062229e+00
3.746331863556129349e+00,4.817302649019133298e+00
3.831658492988594400e+00,3.833977699823554186e+00
3.904607966640341932e+00,3.490648314042349654e+00
3.973195925794858585e+00,3.377170043938303667e+00
4.042065840193026283e+00,3.503281024818066580e+00
4.110125186594980384e+00,3.315381278672152821e+00
4.176461406034164270e+00,3.320383880699396162e+00
4.241242512595150949e+00,3.167854294935663617e+00
4.304621792771878397e+00,3.172973285080624262e+00
4.369014027849352999e+00,3.265553769409996310e+00
4.433927995680085665e+00,3.231920191003353704e+00
4.499065712370510894e+00,3.284388490145254025e+00
4.565275202730217252e+00,3.340106747914490359e+00
4.633111428657155528e+00,3.444450078904901513e+00
4.703006678865661705e+00,3.548525122325057790e+00
4.775207899675564249e+00,3.676136831820453921e+00
4.850253120657916917e+00,3.833982616298068802e+00
4.928363207420853875e+00,3.980046550079124668e+00
5.010657398782540461e+00,4.261507449107405421e+00
5.099531126437619299e+00,4.644351664214658726e+00
5.197007955293083015e+00,5.129950129731366104e+00
5.303189020905196394e+00,5.508605924629389250e+00
5.420234094222323051e+00,6.254058259274352771e+00
5.558187968616366881e+00,7.714210308528491211e+00
5.752593025095558588e+00,1.321858432447786313e+01
6.212035108826027496e+00,1.877442579729100203e+01
6.699272308954810740e+00,2.000000000000000000e+01
6.904758567952046455e+00,7.002809887331709504e+00
7.028872903313740039e+00,5.598064334084554616e+00
7.128131742671638627e+00,4.431624459763721546e+00
7.213894202900662300e+00,4.156320868728017537e+00
7.294752405774838522e+00,3.936772984503679851e+00
7.370662760920738243e+00,3.664157831758612982e+00
7.441079223384066132e+00,3.386812366452522927e+00
7.506143720933550867e+00,3.127434126483932708e+00
7.566923973235389234e+00,2.954078815765261545e+00
7.623661049909685516e+00,2.725618601303712474e+00
7.676899250618100190e+00,2.599212267825912193e+00
7.727771957379442114e+00,2.488064012589628060e+00
7.776342869528934720e+00,2.369374933825985075e+00
7.822367253727574798e+00,2.235503224761372199e+00
7.865903408135203279e+00,2.117961704179089910e+00
7.907145390604043200e+00,2.007752073110577129e+00
7.946246898297440353e+00,1.903461804414011249e+00
7.983215471811640818e+00,1.793614986058452487e+00
8.017851639705813938e+00,1.669424096898338705e+00
8.050088640596518630e+00,1.554007304524282818e+00
8.080144528944552818e+00,1.451631812026926927e+00
8.108406808930606502e+00,1.375192136991018277e+00
8.134411142307708786e+00,1.224112773194419468e+00
8.157961832546357428e+00,1.130988369263136839e+00
8.179302890494845713e+00,1.002533135405178744e+00
8.197663933302036909e+00,8.324828510061066389e-01
8.212960971051025183e+00,6.966896071201778007e-01
8.225511342825697625e+00,5.578749903351025718e-01
8.235696572870168097e+00,4.605606885394947225e-01
8.244533961768071961e+00,4.234742273688905656e-01
8.251715134386651940e+00,2.944102595269475486e-01
8.255985844558940911e+00,1.324235555861318359e-01
8.256846368598040442e+00,-4.642356971821670619e-02
8.255728213114410963e+00,-6.546153517102960839e-02
8.252158966635867898e+00,-2.910823796224973892e-01
8.245200293656534285e+00,-4.046403346892059605e-01
8.235524396038607975e+00,-5.624338558954128375e-01
8.222287769792846035e+00,-7.601398779674182205e-01
8.205028258331541480e+00,-9.643185844422546005e-01
8.184038228134737025e+00,-1.133431696337786621e+00
8.160579339931395282e+00,-1.212689586193948621e+00
8.134866214038591892e+00,-1.357605801250172384e+00
8.106901490507453900e+00,-1.439242029141299284e+00
8.077193909272210703e+00,-1.531742654162240092e+00
8.045099779146237751e+00,-1.676437170745178618e+00
8.010307839032325461e+00,-1.802091854452511299e+00
7.972892140265876115e+00,-1.938264729055348967e+00
7.933037816329560954e+00,-2.047526730868964417e+00
7.890906860186670535e+00,-2.165410752935726268e+00
7.846408461289075653e+00,-2.283990657904199306e+00
7.799568137696839543e+00,-2.399562829157742883e+00
7.750201205272206018e+00,-2.539744026033783797e+00
7.698318387488221504e+00,-2.648245336190135912e+00
7.643854160773857487e+00,-2.800673893592143138e+00
7.586340427983262913e+00,-2.953140594084025849e+00
7.524867061782138045e+00,-3.201320437469688418e+00
7.458634095006291709e+00,-3.428339949363596428e+00
7.386388039119288429e+00,-3.811271018003552946e+00
7.307212207654993463e+00,-4.118501553516742852e+00
7.221317635051978101e+00,-4.488667077591682819e+00
7.123571657738922980e+00,-5.348650351758243104e+00
7.005744964084219539e+00,-6.560108307917550619e+00
6.847391732716526569e+00,-9.983479940162622412e+00
6.485337765274463706e+00,-1.517939246800706599e+01
