Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-6.611328726183481053e-02,-1.002004050682382852e+00,3.146517377773111555e-03,3.149778201765698893e-01
-6.998183237823750458e-02,6.165088611867998170e-01,4.053870521373688363e-03,-2.242647686795110618e-01
-5.587049842138330780e-02,7.959014200009389972e-01,-1.151856783152868657e-03,-2.964179894448165098e-01
-4.043155885218521067e-02,7.505390334867803048e-01,-7.034599800329754613e-03,-2.920838761179898047e-01
-2.575277354622956816e-02,7.196259414611659855e-01,-1.284382341990750534e-02,-2.890436082122683770e-01
-1.155849575614241280e-02,7.019353179836443912e-01,-1.860425096542357715e-02,-2.871909619467392649e-01
2.408301554568920144e-03,6.968096999795391211e-01,-2.433898686868145311e-02,-2.864684057348679258e-01
1.407929193005431900e-02,4.719060502897255427e-01,-2.929944654800426332e-02,-2.097359328625063024e-01
1.901384836819620255e-02,2.213235942630070729e-02,-3.196218824755304305e-02,-5.661598435903966720e-02
5.699341184008914138e-03,-1.354066478435995702e+00,-2.848142088662217533e-02,4.046752784581021389e-01
-1.445019662665505966e-02,-6.639679172960344378e-01,-2.270277789242044347e-02,1.735006489202171043e-01
-2.788983028697883393e-02,-6.820001748130810615e-01,-1.921993225735623909e-02,1.749638241277912121e-01
-3.247287929214975194e-02,2.235181435894877666e-01,-1.878667021963620690e-02,-1.315694640019293982e-01
-3.525924202583832767e-02,-5.027371811809521196e-01,-1.907651596723882598e-02,1.025992315555059042e-01
-4.564293216433001898e-02,-5.371985957342483298e-01,-1.699577663708502426e-02,1.056150540893980722e-01
-5.681350782275681327e-02,-5.816218092094177505e-01,-1.484598493628133675e-02,1.095213602485717308e-01
-6.898347146021194254e-02,-6.374141552092318364e-01,-1.260818970986562343e-02,1.144391631512423346e-01
-8.239897598591985894e-02,-7.065703997193688579e-01,-1.026055246617669017e-02,1.205392683371492302e-01
-9.488525805732322960e-02,-5.430647285959793180e-01,-8.560880817229573822e-03,4.953657716109520492e-02
-8.924733065206814919e-02,1.102669341193357466e+00,-1.298627423866275873e-02,-4.916534233428623835e-01
-5.844280634804783353e-02,1.973399477573890781e+00,-2.585203382837648889e-02,-7.945471399928917267e-01
-3.369697020090434147e-02,5.144365269066915047e-01,-3.703905714686374362e-02,-3.253425134386566109e-01
-2.367990624265474409e-02,4.887360023030233869e-01,-4.351841378901448454e-02,-3.227256786292980739e-01
-1.409093214102073027e-02,4.715335791780227992e-01,-4.995320400129378557e-02,-3.208775322674575214e-01
-9.397137122479456983e-03,-1.284851029148548207e-03,-5.481659601804227816e-02,-1.655629503986950912e-01
-2.558991787597285177e-03,6.857523916416429222e-01,-6.043133942720897711e-02,-3.959368852396112359e-01
1.115897947298791215e-02,6.880656668241675877e-01,-6.834672753705364756e-02,-3.957837022337610811e-01
2.504520765753793024e-02,7.026296171188113338e-01,-7.627001833786281604e-02,-3.967314103575463879e-01
4.168644304658715438e-02,9.647595066339578196e-01,-8.499624419537454845e-02,-4.761657345036982569e-01
4.727894595809895018e-02,-4.062077702011885894e-01,-8.990852047236774780e-02,-1.508366226906665553e-02
3.953214748874217532e-02,-3.696299394301245655e-01,-9.024419108700491854e-02,-1.837865060419183877e-02
3.245012459750082345e-02,-3.396023956590296655e-01,-9.063971579755947250e-02,-2.108044866739181011e-02
2.590891834138774052e-02,-3.154501189280438656e-01,-9.108385909234401057e-02,-2.324929310577551408e-02
1.747428267087731968e-02,-5.289480327201028231e-01,-9.079504126829819610e-02,5.220590612905531835e-02
1.396879026388044703e-02,1.775806229849198892e-01,-9.207534274577222622e-02,-1.801282883172205529e-01
3.390188669997543786e-02,1.822557878981487800e+00,-1.010873404831463956e-01,-7.215684089724838657e-01
7.095732755639355682e-02,1.892221928653017970e+00,-1.155641538967006193e-01,-7.269057996026231372e-01
1.125113093904682726e-01,2.282249572436749752e+00,-1.309857020167586872e-01,-8.168400775815845005e-01
1.774139995106036316e-01,4.357817895736048719e+00,-1.523910098184918238e-01,-1.335991569676953761e+00
3.139397571284480160e-01,1.241734213765874628e+01,-1.872508944626779526e-01,-2.410533884232362478e+00
5.845060880211219168e-01,7.665307847480649528e+00,-2.388592120949973308e-01,-2.196312315556517181e+00
