Angle (rad),Angular Velocity (rad/s)
3.012070251524351150e+00,1.193450306915380343e+00
3.054378779527148424e+00,2.989803118580042440e+00
3.127827306859941814e+00,4.344753965611182878e+00
3.215008595358697541e+00,4.406480923933801641e+00
3.295068058790883381e+00,3.582061700844257679e+00
3.350058050248788888e+00,1.800445116420869685e+00
3.388759141061323810e+00,2.087820531763538767e+00
3.419256017966208816e+00,8.516686081316460211e-01
3.465318958137228122e+00,4.582721141313060187e+00
3.577675557132893314e+00,2.689794350161285763e+00
3.646175938887020074e+00,3.868267897866565885e+00
3.705935433328646500e+00,2.325382178567774627e+00
3.755440209299107934e+00,2.602062538187946750e+00
3.812297661075926047e+00,3.046579987646845566e+00
3.869328933639105905e+00,2.684392933430129080e+00
3.918638887448063990e+00,2.271585561913207041e+00
3.966191782672500832e+00,2.475587234589469166e+00
4.016944096771059236e+00,2.595789962933604311e+00
4.071005978405951353e+00,2.802618207431544661e+00
4.125668414289743069e+00,2.671661621742341453e+00
4.179998313814789590e+00,2.759940212416160943e+00
4.235575745237251333e+00,2.798756912063951052e+00
4.291612248930493756e+00,2.807375337702712859e+00
4.347337267793193405e+00,2.769802314215224825e+00
4.403744528886957887e+00,2.870292216101684168e+00
4.461400505106663417e+00,2.898349332261176858e+00
4.520530164974527310e+00,3.013865734402412233e+00
4.581226804436415279e+00,3.060154257581096715e+00
4.643449265946579807e+00,3.163291712784595422e+00
4.707783201206128254e+00,3.272483372588093520e+00
4.774484207281359360e+00,3.402465096209673856e+00
4.844007131325933635e+00,3.554436979722301881e+00
4.916815934693559598e+00,3.731878036441473867e+00
4.993616170972599910e+00,3.956024857101223979e+00
5.074497368301528866e+00,4.136964335098629597e+00
5.161385419818519615e+00,4.572829733942482378e+00
5.257412482051624814e+00,5.056264675691396704e+00
5.363265820433293918e+00,5.560464842515135508e+00
5.481633789442637905e+00,6.342250829117386246e+00
5.625087054302082556e+00,8.281032437591150597e+00
5.845202387389567100e+00,1.793811776157580695e+01
6.242509292078090688e+00,1.454644730915576112e+01
6.539218983436818178e+00,1.820106327532765178e+01
6.874349151626200083e+00,8.897406908872692810e+00
7.025105054506317614e+00,6.602313666376414147e+00
7.142234226551872567e+00,5.249922559341236195e+00
7.240761506746819620e+00,4.642992284942883074e+00
7.328041467219581939e+00,4.113529670296271590e+00
7.405546250783526574e+00,3.657356581347585234e+00
7.475998696748145989e+00,3.396324592375565832e+00
7.541815309614706031e+00,3.190641948077591383e+00
7.604331080379243879e+00,3.062297411799044689e+00
7.663707223098384702e+00,2.879524367939346075e+00
7.719541443870206798e+00,2.707826166603370943e+00
7.772358105359569613e+00,2.575405572442614144e+00
7.822676856517606581e+00,2.456757654106277222e+00
7.870618919905847832e+00,2.338262520379685849e+00
7.916244892357301666e+00,2.225125766156784923e+00
7.959520145112794154e+00,2.101686024434303857e+00
8.000729429402300141e+00,2.021085041607280974e+00
8.039990553606839896e+00,1.904692869479405415e+00
8.077109853303468867e+00,1.807505144582255641e+00
8.112803448267728257e+00,1.763598252174114700e+00
8.146343795951224820e+00,1.588312843668490348e+00
8.176811408312904206e+00,1.457559897485907863e+00
8.204608882674000014e+00,1.321216795710610015e+00
8.229758845941146816e+00,1.193013224669910333e+00
8.252298034414815575e+00,1.060109048205139848e+00
8.271968959047955039e+00,9.059628711091707309e-01
8.289014558601630611e+00,7.982595789456535806e-01
8.302795348407585152e+00,5.784284937475693278e-01
8.313236583770580168e+00,4.654298453960231674e-01
8.320624154117739479e+00,2.727168626348926983e-01
8.324523277515718078e+00,1.169751658496074598e-01
8.324698966575889258e+00,-9.941260195729625937e-02
8.321349355885026000e+00,-2.354056622589667802e-01
8.314312567019706890e+00,-4.674672679629705563e-01
8.303072198593227426e+00,-6.556634095265770901e-01
8.289952246397890079e+00,-6.570934792245495260e-01
8.275183772873457855e+00,-8.188802916046269420e-01
8.257731658672126329e+00,-9.260158742071900040e-01
8.238780244654776652e+00,-9.696892540057324705e-01
8.218043950724172930e+00,-1.103214216303519013e+00
8.193868340974134412e+00,-1.312170366401036459e+00
8.166756297591923897e+00,-1.399115899424091314e+00
8.137676975728030726e+00,-1.508467973238214022e+00
8.106528190897632768e+00,-1.606401052540709307e+00
8.072820358763548754e+00,-1.762744001272674499e+00
8.036442166326560610e+00,-1.874829354283230609e+00
7.997483338168811073e+00,-2.019471164426442034e+00
7.955943986846290450e+00,-2.134331159998326566e+00
7.912200031119040133e+00,-2.240902270170823662e+00
7.866342121716842328e+00,-2.347266941397067708e+00
7.818209841057024434e+00,-2.468158680718048448e+00
7.767554818435348452e+00,-2.599411949160594038e+00
7.714140435326263479e+00,-2.744635603928859968e+00
7.658146384958374853e+00,-2.854797896095794929e+00
7.599252442991536682e+00,-3.038793450336027213e+00
7.536299105113382524e+00,-3.262700642512051719e+00
7.468323495133486922e+00,-3.544112707481004154e+00
7.395266180106710330e+00,-3.768386764557605684e+00
7.317257679181710550e+00,-4.042564291107206387e+00
7.231651505391695878e+00,-4.544467607391425190e+00
7.134792620191906742e+00,-5.184249811796814100e+00
7.021142060139508700e+00,-6.288434348593826329e+00
