Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
2.849304754961938177e-02,2.307546915233403204e-02,-2.093497620299570434e-05,-2.095966849523810127e-03
2.220801052073017104e-02,-6.517512786531511892e-01,2.231304633066188807e-03,2.273055115359941536e-01
9.338520103644705125e-03,-6.370935255304829292e-01,6.760443799598224966e-03,2.257792034939779535e-01
-1.492870716722794616e-02,-1.793964442728144704e+00,1.512341441884291517e-02,6.108392185971571742e-01
-3.711700401676727712e-02,-4.247982099376802489e-01,2.272761864726987116e-02,1.496726331611910599e-01
-2.957338624463323046e-02,1.177787415752177047e+00,2.034011251265541859e-02,-3.882350295149122887e-01
-1.553686638903237043e-02,2.296616645195430628e-01,1.568506702724882865e-02,-7.764591310360596799e-02
-6.428027289493829302e-03,6.821734434804478386e-01,1.260166826641406779e-02,-2.307587174612848457e-01
2.109072204044323134e-02,2.075868241216110910e+00,3.365294416460276432e-03,-6.933405773282195206e-01
7.259238599334710829e-02,3.103135456195199815e+00,-1.363940260742679475e-02,-1.009483140647004396e+00
1.191533404764202608e-01,1.528562720570506350e+00,-2.848329572041765831e-02,-4.730231397347155475e-01
1.327571411093905751e-01,-1.824669413704693710e-01,-3.248451390395287741e-02,7.397565857480814522e-02
1.276994151384187870e-01,-3.235189121277310953e-01,-3.031824935626773257e-02,1.426637257269406378e-01
1.355998354528119565e-01,1.123295819496070047e+00,-3.156331748668815551e-02,-2.679171320227259345e-01
1.797919565361695560e-01,3.409183302561972884e+00,-4.278514408073656045e-02,-8.635567066895293298e-01
2.649497802725240825e-01,5.522331229429118693e+00,-6.261894086565936157e-02,-1.154351216732834917e+00
4.452319737154761259e-01,5.394471147355421436e+00,-9.303063267702145478e-02,-1.279327641699527840e+00
5.192049497598036911e-01,2.639908960977733088e+00,-1.173982081393845911e-01,-1.212900507473825940e+00
5.745392738339888394e-01,2.852815363289868955e+00,-1.384116468651182541e-01,-8.849452921846441278e-01
