Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
2.842613345349415815e-02,2.302060531776886285e-02,-2.088524521392718086e-05,-2.090987498019124084e-03
2.911957125741625532e-02,4.641840863947234441e-02,-8.385455867798271494e-05,-4.214254774549661998e-03
4.430223036114645102e-02,1.477915685657832157e+00,-4.825056337667051748e-03,-4.703476809657675117e-01
8.168427442641747194e-02,2.278758769943885820e+00,-1.661567492697063955e-02,-7.102281871316534767e-01
1.112140937063476054e-01,6.553125608593926010e-01,-2.543398414543091707e-02,-1.701640238555659490e-01
1.228636055883986777e-01,5.104557778536220614e-01,-2.814303563278565748e-02,-1.008331734963530124e-01
1.316595255996528269e-01,3.696943171970140107e-01,-2.947047488029252288e-02,-3.197813990851502974e-02
1.376695819082512373e-01,2.316738161088610914e-01,-2.942445060885486366e-02,3.653263140865989356e-02
1.328701289454481960e-01,-7.085666225597759826e-01,-2.560321381605918864e-02,3.452968706863698278e-01
1.358623142241600079e-01,1.011949192745854598e+00,-2.360886775382075101e-02,-1.461316541171119587e-01
1.413034971212762114e-01,-4.732682508164129942e-01,-2.183512333443049167e-02,3.238737868299204070e-01
1.305369746253481900e-01,-6.040145819159610241e-01,-1.468239358768197271e-02,3.914534784309249282e-01
1.171123503482892764e-01,-7.393602457615121581e-01,-6.174314663665731936e-03,4.594348043091623923e-01
1.136399678529613905e-01,3.888216655642915964e-01,-2.526010160173080611e-04,1.330634681261199104e-01
1.199257399626384168e-01,2.401600038920325420e-01,3.102667688669692812e-03,2.024116148020003447e-01
1.337474383831248337e-01,1.153402367067450918e+00,4.655204469420782219e-03,-4.807278634062736589e-02
1.420929197615635464e-01,-3.272586540792501442e-01,8.383087289012481486e-03,4.214698900560540640e-01
1.342301765724112639e-01,-4.594111435498356988e-01,1.748798292637666896e-02,4.890511841077060939e-01
1.080915337827312861e-01,-2.129056607892104935e+00,3.271788011162254234e-02,1.031790953867803839e+00
8.421399609606741721e-02,-2.865561254464077390e-01,4.773421599558475004e-02,4.722454954988800635e-01
9.144082104276859968e-02,1.014476715812183460e+00,5.319956610680216802e-02,7.391326201404729845e-02
9.775424870729243487e-02,-3.864593483856976208e-01,5.930460264475637122e-02,5.367834148584489373e-01
9.337271828864285306e-02,-5.315736676857885090e-02,6.917228734989790129e-02,4.501242383438598393e-01
9.066519845617596052e-02,-2.177193386714236234e-01,7.887990582607727619e-02,5.206400618005785352e-01
9.697849250497528328e-02,8.532087744426268827e-01,8.608102309733185742e-02,1.991728137179441249e-01
1.125593244267779625e-01,7.061737877319572698e-01,9.075837091536849421e-02,2.684259624358762419e-01
1.437087630972526953e-01,2.455869135908753442e+00,9.122988889533333035e-02,-2.251063454192349378e-01
1.996143615919580561e-01,3.206397786683476969e+00,8.558178808684251127e-02,-3.456500347413357099e-01
2.527818706307251029e-01,2.019451099346701195e+00,8.247796572597103359e-02,4.272719025012328142e-02
2.755734944187829272e-01,1.475873764293615942e-01,8.768867753162855327e-02,4.876176839001404861e-01
2.533184239761077094e-01,-2.229856633047148762e+00,1.030093381784937950e-01,1.032415610093037062e+00
2.226252503865741861e-01,-9.348905848157205156e-01,1.213144895809486895e-01,8.061117988126653700e-01
1.934503038299835442e-01,-1.944475417381083870e+00,1.406078530240775226e-01,1.120043951251395775e+00
1.697762607750013808e-01,-4.714785975895481318e-01,1.594046428564121487e-01,7.637325938614047960e-01
1.738889751487525948e-01,8.894546324806982263e-01,1.712178290626215904e-01,4.170815050127073542e-01
1.726265545749112451e-01,-1.012728482877563785e+00,1.851838125375026567e-01,9.791846239977524124e-01
1.375295958824345188e-01,-2.456954684846642589e+00,2.094588294019638641e-01,1.444976703781187588e+00
1.086631164337852062e-01,-4.766238239484081873e-01,2.326022506822076064e-01,8.733476032848552784e-01
1.026519965727501621e-01,-1.266880465500881958e-01,2.491829003422586786e-01,7.849193821843872820e-01
1.010486386083383759e-01,-3.397415648460583304e-02,2.647900551245155887e-01,7.758263026699698806e-01
1.012873704310516820e-01,5.788863160761902049e-02,2.802165074902580044e-01,7.668166644936957876e-01
1.134750725132727955e-01,1.170677388183773093e+00,2.923076948192712687e-01,4.415333662082976396e-01
1.463426083559098423e-01,2.147946253899037039e+00,2.986055661576010323e-01,1.856357825627932834e-01
1.747203024528744264e-01,6.538301097650175420e-01,3.069956873969121314e-01,6.562437494936024240e-01
1.837905984074111321e-01,2.506568483843913397e-01,3.215946188182295939e-01,8.038253921028932769e-01
2.037389131040832080e-01,1.790341734000180374e+00,3.340911613024212801e-01,4.420399971257140681e-01
2.688795097634318898e-01,5.240205826821295432e+00,3.369978448571412377e-01,-1.943090694817326547e-01
4.432118518971570609e-01,4.112926498563662214e+00,3.235426835079004970e-01,-4.646941191479128097e-01
5.062556338551345014e-01,2.553413384678200337e+00,3.159094455602457496e-01,-3.302119444780802215e-01
5.354941261184080759e-01,5.150040879523141157e-01,3.071395219712467206e-01,-5.595027467525386378e-01
