Angle (rad),Angular Velocity (rad/s)
2.982104185604138369e+00,-1.816482980996359409e+00
2.961625080202728633e+00,-1.920885682376020087e-01
2.937774115488292814e+00,-2.255114340441449539e+00
2.884821542904353109e+00,-3.134574061643172538e+00
2.734620982469593731e+00,-8.086816902132136775e+00
2.621199594582418690e+00,-4.629505915470601529e+00
2.533645711470673412e+00,-4.189482312653245444e+00
2.456965899792283192e+00,-3.548508522936569598e+00
2.384291268500920324e+00,-3.704607612035828890e+00
2.308662159218862531e+00,-3.847242290767848960e+00
2.230724472515837498e+00,-3.940791181003389099e+00
2.155019075196033640e+00,-3.649799912155576198e+00
2.082046747073748261e+00,-3.649945815711264085e+00
2.009333581529089141e+00,-3.625752457813609553e+00
1.936693516963462480e+00,-3.641175401151764746e+00
1.864080556553270762e+00,-3.625547641557924194e+00
1.790699732568012514e+00,-3.713019332017075680e+00
1.715798275709695897e+00,-3.780155668767215982e+00
1.639446675539375509e+00,-3.859311073328856256e+00
1.561143065651384276e+00,-3.972838634455019946e+00
1.480409074327695418e+00,-4.104545732255425960e+00
1.396453879327403058e+00,-4.300378434296877828e+00
1.308760205244091201e+00,-4.474332299734543383e+00
1.217006312895839049e+00,-4.710341302078240311e+00
1.120049201712713938e+00,-4.998094766523787591e+00
1.014684812168449746e+00,-5.573980251658788632e+00
8.982628754704686802e-01,-6.104156074435932666e+00
7.644911987162467115e-01,-7.413945987627436729e+00
5.851888255480610646e-01,-1.135874290961085897e+01
2.597228001042282131e-01,-8.153010357530437346e+00
1.382074092079060845e-01,-4.892419066942480299e+00
4.792596557846658112e-02,-4.231978127609693274e+00
-3.830642443894372029e-02,-4.445069868651309264e+00
-1.150703949413954819e-01,-3.235421517558929594e+00
-1.868868287626691271e-01,-4.041507799841461690e+00
-2.682745847706681230e-01,-4.199322797561944043e+00
-3.993525405420716989e-01,-6.761745460524700491e+00
-4.772985680969369926e-01,-2.586468236703385770e+00
-5.357092804910112971e-01,-3.143583436131547781e+00
-5.870321403099375557e-01,-2.087211048005023883e+00
-6.191084727634529328e-01,-1.166726337839113947e+00
-6.380911432458692412e-01,-7.421950581938223657e-01
-6.430453667133179119e-01,2.397866932352380465e-01
