Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-7.548950053006967323e-03,-6.958195907735335028e-01,2.312742034093272486e-03,2.313208279957085223e-01
-9.976211984311349895e-03,4.526521849900441707e-01,3.090926017779001278e-03,-1.534029332627171727e-01
-9.875892058687704700e-04,4.474720183614331326e-01,3.009008461604461768e-05,-1.527949079954671885e-01
7.972907652476985199e-03,4.498338138588364732e-01,-3.025417159904233814e-03,-1.528694500698070946e-01
2.169467172940245034e-02,9.247581678691216833e-01,-7.631522642624457078e-03,-3.079308253815184471e-01
3.111595132628455079e-02,1.773483212952975396e-02,-1.072117967315888362e-02,-1.124150935517598260e-03
3.172566464058523134e-02,4.332046295338468078e-02,-1.076681704832869839e-02,-3.446841600830187653e-03
3.285357775092363763e-02,6.962778145050205203e-02,-1.085947463564370871e-02,-5.832770330652235768e-03
3.451856386541293786e-02,9.710413635379082364e-02,-1.100081840019945419e-02,-8.322353123140136325e-03
3.674868271130294489e-02,1.262226481130144240e-01,-1.119334347711189656e-02,-1.095825082316299881e-02
3.490522103568702988e-02,-3.105763393970224495e-01,-9.894905301810552958e-03,1.407810683830294507e-01
3.831034085328186012e-02,6.519707612582614775e-01,-1.019559418707204936e-02,-1.708774295889466943e-01
6.828308031926103028e-02,2.365023161198403834e+00,-1.907022961072414244e-02,-7.181485260793997183e-01
9.968270063118005175e-02,7.590706072340165367e-01,-2.805861044359778123e-02,-1.795027516131978418e-01
9.826140112030035123e-02,-8.997582951894950165e-01,-2.622282398462720196e-02,3.628793028297154777e-01
8.857673520530434663e-02,-7.439367049383216468e-02,-2.140096306087991770e-02,1.198236005667921156e-01
8.540078162275394069e-02,-2.433623633525457408e-01,-1.829232444555613235e-02,1.910461166779170161e-01
9.846505858782846066e-02,1.563175119812583391e+00,-2.001896099695165201e-02,-3.647371227399459626e-01
1.157515234909690660e-01,1.541782261855697556e-01,-2.268246288048982040e-02,9.922289429359143487e-02
1.276972689123452298e-01,1.049603978553998784e+00,-2.317935709494998650e-02,-1.496451634243031736e-01
1.340921837600093924e-01,-4.159235828846341576e-01,-2.149243779773622395e-02,3.187344475216945527e-01
1.244121180056685927e-01,-5.526234502065958676e-01,-1.443705530092316731e-02,3.868492753894594016e-01
1.275438673802977430e-01,8.692176828244450038e-01,-1.078465784855370951e-02,-2.183058577835511604e-02
1.436790449253915747e-01,7.456381476042260870e-01,-1.054649699110082883e-02,4.550684649258390779e-02
1.658938049559067207e-01,1.496255610799511304e+00,-1.141098287344804313e-02,-1.336371191565565164e-01
1.801672090642656154e-01,-9.150168442836059679e-02,-9.315602777788079686e-03,3.449499811363181401e-01
1.833524154220633196e-01,4.124939879733628967e-01,-3.428472029123078631e-03,2.435706620538781453e-01
1.906099733272108576e-01,3.137972280536202030e-01,2.090243287491895616e-03,3.082374775352626495e-01
1.863991999208018391e-01,-7.296688903805518267e-01,1.142973745184702565e-02,6.252363900001154384e-01
1.770107879229316783e-01,-2.169535295906493966e-01,2.290427115534909852e-02,5.228880363104353446e-01
1.961202654654990440e-01,2.190186214659952668e+00,2.733974815668774316e-02,-8.441949029988710107e-02
2.268658942289497882e-01,8.258992348485795221e-01,2.962693267520524060e-02,3.178953380676966534e-01
2.391741798757867632e-01,3.977069840579073312e-01,3.747711104406872135e-02,4.676846757033185087e-01
2.552055575129498766e-01,1.241207341703306488e+00,4.555580051948133341e-02,3.372038642961718846e-01
2.920802709211233195e-01,2.628676639241055657e+00,5.069302491093457402e-02,1.612459048622306990e-01
3.968726493534970312e-01,5.983063634526851970e+00,4.953157696535379073e-02,-1.115129407413420759e-01
4.361675858173539311e-01,-3.908169867562188426e-01,5.070335655498266897e-02,8.589104294767758996e-02
3.868065474651048996e-01,-6.971911971999079860e+00,5.364622498182303190e-02,4.163096145128015735e-01
2.958898918144823864e-01,-5.663942551089218291e-01,5.521246069418900282e-02,-4.018136680945196826e-01
2.982003558439341173e-01,8.121358153582098893e-01,4.543389666831706974e-02,-5.772516359484959336e-01
3.485931791633525845e-01,6.769988849978822998e+00,2.984227527126100121e-02,-1.196520942467879323e+00
4.576811378665300301e-01,2.750654537307234193e+00,7.812902790067929523e-03,-8.975142925600310129e-01
5.123040803484552042e-01,2.697023400922045511e+00,-7.793703565366619755e-03,-6.619597796078904306e-01
5.469652905952091526e-01,9.101000961686687152e-01,-2.283488169408403115e-02,-8.546038235811738160e-01
