Angle (rad),Angular Velocity (rad/s)
-2.657691095114190771e-01,2.782264591566443457e+00
-2.034896493413837493e-01,3.406813738217202570e+00
-1.502062501323421506e-01,2.031287416455941575e+00
-1.146285929902707001e-01,1.548862548936214889e+00
-8.761854433755067451e-02,1.163379014263591582e+00
-7.501837598288366160e-02,1.045710295172517235e-01
-8.337775724785383147e-02,-9.452192716090894731e-01
-1.133396540589727552e-01,-2.075250105184792915e+00
-1.767555173854285511e-01,-4.427031122030083310e+00
-2.593241332527695953e-01,-3.816618853779681686e+00
-4.044749127031230795e-01,-6.405507453571670062e+00
-5.018733950516296449e-01,-4.137569861631122947e+00
-5.813142721561399551e-01,-3.827588811073848074e+00
-6.409412335129165417e-01,-2.277904448109079105e+00
-6.865943775369357516e-01,-2.281241607668899274e+00
-7.253250688310154404e-01,-1.620250244098373260e+00
-7.522243205771921293e-01,-1.084369464836719699e+00
-7.721561332679787171e-01,-9.111876987318123788e-01
-7.910021476692625786e-01,-9.708620747570169129e-01
-8.072194276952764369e-01,-6.550938703518160988e-01
-8.158234358038326528e-01,-2.086769523145909910e-01
-8.181179453814813041e-01,-2.106111211466291100e-02
-8.171634349964735922e-01,1.165926933367735230e-01
-8.124464211280840731e-01,3.559422348841100314e-01
-8.039013317316191509e-01,4.992779264125467575e-01
-7.929729657569567491e-01,5.939365757807086865e-01
-7.806821990809174050e-01,6.348804963733390982e-01
-7.699117373849122536e-01,4.392182960463266728e-01
-7.590081948703676362e-01,6.529637833719251772e-01
-7.405107003171941260e-01,1.207064328977641932e+00
-7.122516582502301796e-01,1.630817288168580514e+00
-6.786889278145472604e-01,1.726351635488429848e+00
-6.441004084068335800e-01,1.728818034502420664e+00
-6.063466451564144544e-01,2.061456730390419434e+00
-5.678893770393057538e-01,1.756801303406402059e+00
-5.356521877677599131e-01,1.439595533763007751e+00
-5.072789280482807861e-01,1.388412255018881103e+00
-4.692407900151976952e-01,2.537239965893239191e+00
-3.412590126994207163e-01,1.431556595294302170e+01
-1.874753807073479273e-01,5.949747493092559125e+00
-8.708101887427971421e-02,4.323470585989031889e+00
-5.340199349977967080e-03,3.906998314528166816e+00
8.523845995301730649e-02,5.238024386199347404e+00
2.095242197234647996e-01,7.641949080239156089e+00
4.089710068099516316e-01,8.498400815573198486e+00
4.937747190302662070e-01,2.129806557278218548e+00
5.201739097791537869e-01,6.132748199102346920e-01
5.362370763990734757e-01,9.763108502947333012e-01
5.533729344763839153e-01,7.433317375332920696e-01
5.693088477259805602e-01,8.446967898464392555e-01
5.883630740096240652e-01,1.050754086599262394e+00
6.146731762481059125e-01,1.553921910378679661e+00
6.442344453400890014e-01,1.405543850204643563e+00
6.672710661198478777e-01,9.122527260349511113e-01
6.862929414152064700e-01,9.862588026016624321e-01
7.073673788714315291e-01,1.115787015329908760e+00
7.242531601284543097e-01,5.825817773732917537e-01
7.384815813001622820e-01,8.348560349867553132e-01
7.484060849316621633e-01,1.646358815807859033e-01
7.490101645967010002e-01,-1.040781909590750010e-01
7.467963665547846519e-01,-1.172103855667174510e-01
7.384600146289420630e-01,-7.216138777235905355e-01
7.224124363940466198e-01,-8.850600423438245157e-01
7.014747095230566831e-01,-1.215585917090411305e+00
6.683962433794428115e-01,-2.129060160452852735e+00
6.242829963086904410e-01,-2.286694148168885388e+00
5.714293811239590237e-01,-3.059871408320566921e+00
5.074260648695935183e-01,-3.363145594641637093e+00
4.183348230773768495e-01,-6.562052421927106138e+00
2.524145260478644071e-01,-5.718539774073314597e+00
1.615656741588337719e-01,-3.776385069312836684e+00
8.286809693704924595e-02,-4.122283218829894125e+00
-2.401779726293948314e-03,-4.452092774589645252e+00
-9.045207841868642407e-02,-4.410329403425951256e+00
-1.788130019385924530e-01,-4.499003218078376776e+00
-2.894611152993903369e-01,-7.453378147652847119e+00
-4.597369723106365380e-01,-5.436004432378519269e+00
-5.529267943009357200e-01,-4.177736587752207242e+00
-6.253496558487676715e-01,-3.175982810751124319e+00
-6.769337155661769856e-01,-2.059283780436360622e+00
-7.144012491589182279e-01,-1.700991471682789191e+00
-7.481077737666408378e-01,-1.667955461065956602e+00
-7.762763733483396544e-01,-1.162565078542937780e+00
-7.961252299764622897e-01,-8.279900899622667509e-01
-8.137173949500106085e-01,-9.282152889612671487e-01
-8.287688426515928963e-01,-5.811744304061956523e-01
-8.366214386932669944e-01,-2.064934488797953160e-01
-8.407697375567914078e-01,-2.080525876993465362e-01
-8.440251417413195956e-01,-1.175605606019602400e-01
-8.450233903783022082e-01,1.767400231356142104e-02
-8.401455496640254372e-01,4.718988739835334179e-01
-8.278815557508863998e-01,7.571255260443600088e-01
-8.102184626493813546e-01,1.012529678371967945e+00
-7.904023885410076389e-01,9.668464002384175027e-01
-7.710698957267537734e-01,9.650515955173054605e-01
-7.456951255282426860e-01,1.588139028100219896e+00
-7.066402696844176212e-01,2.349288203487097881e+00
-6.559159035348514077e-01,2.743468913696658795e+00
-5.922665143471982363e-01,3.706254461509096210e+00
-5.084757431206381462e-01,4.839918408620849100e+00
-3.081991974330421380e-01,1.352616842074568382e+01
-1.031573683464503260e-01,9.416198099868616112e+00
8.837892713525745403e-02,1.024936512627087382e+01
3.422037661715975898e-01,2.000000000000000000e+01
5.472923795738824371e-01,6.281239337440789328e+00
6.579142527425382303e-01,4.981124680224001011e+00
7.482802880392338540e-01,4.133628547563002797e+00
8.263590509862556166e-01,3.699677946086434854e+00
8.940637654812866320e-01,3.102016306819397773e+00
9.506864527587473024e-01,2.581140705482554587e+00
9.979646186716858436e-01,2.159583651727158049e+00
1.039552754450324912e+00,2.001717720041994220e+00
1.076979666491495902e+00,1.745898122049152734e+00
1.109965786758801087e+00,1.555370515722889868e+00
1.138360350061000004e+00,1.287925885561530093e+00
1.162125194042384457e+00,1.090526133348085347e+00
1.181415906005083949e+00,8.408670273250942184e-01
