Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-8.278596691589126810e-02,-1.753441268225591543e+00,5.498958216570233939e-03,5.510078731222511905e-01
-1.016110167342270387e-01,-1.171340035184814388e-01,1.111865939154218184e-02,1.008822527182259843e-02
-1.023484600608012829e-01,4.329951829172024036e-02,1.061479419432510840e-02,-6.045535658395832790e-02
-9.987893948346471262e-02,2.037494525556315383e-01,8.700838101016461490e-03,-1.309401454818883148e-01
-8.184705930071556335e-02,1.589798116251316396e+00,1.457329496107845172e-03,-5.925666689695378020e-01
-6.771785704739145817e-02,-1.645535620976675828e-01,-4.866300783602971192e-03,-4.091082030595200036e-02
-6.919280719034037741e-02,1.690094977396446735e-02,-6.409227296659198922e-03,-1.133557316812191934e-01
-7.424879561247424431e-02,-5.241509186882973292e-01,-7.065547915410535715e-03,4.783995942445451455e-02
-8.299634466913856368e-02,-3.513071528468819094e-01,-6.827140622475535298e-03,-2.391973961543013283e-02
-1.006514774757736319e-01,-1.426360599595057455e+00,-4.102313705423145905e-03,2.973707775690591637e-01
-1.305682837398827179e-01,-1.574694004740974762e+00,1.963559968134089527e-03,3.100176605503276450e-01
-1.448023825154276800e-01,1.687001752778224395e-01,2.681796019970063977e-03,-2.395263462565079826e-01
-1.346914076207860467e-01,8.382984733101328523e-01,-4.394271914999227369e-03,-4.677189733181525977e-01
-1.219111552773085305e-01,4.456687924660558409e-01,-1.282601788456702932e-02,-3.759744957761395057e-01
-9.631220869714351984e-02,2.093087167766290335e+00,-2.577342424175799174e-02,-9.169701437605599637e-01
-7.025187552470091301e-02,5.362807777861691161e-01,-3.931538814164628470e-02,-4.392454155115628756e-01
-6.491020231627496473e-02,-2.328381363747578092e-04,-4.648749627069891088e-02,-2.781514601340010495e-01
-6.308153201748344097e-02,1.831963613249376066e-01,-5.277467368402719711e-02,-3.505650344888648351e-01
-5.757243231700908542e-02,3.681232889556019794e-01,-6.051063304547648486e-02,-4.230597593836420978e-01
-5.069469146129356590e-02,3.207180620927643777e-01,-6.892412274753825785e-02,-4.183857522026018794e-01
-5.886959276914560668e-02,-1.142459927958227262e+00,-7.260159628874576776e-02,5.092306881385838535e-02
-6.561943048699295233e-02,4.697335965657005730e-01,-7.696713589829562441e-02,-4.875697225107055721e-01
-5.916519695906910514e-02,1.772766321091911457e-01,-8.588716147170524784e-02,-4.045838328285069618e-01
-5.612008676040024929e-02,1.277070898959660195e-01,-9.392978617291024290e-02,-3.997218586009876340e-01
-4.695424676772210620e-02,7.884244113758501760e-01,-1.042019332357480704e-01,-6.274308634586347466e-01
-2.458636574175831341e-02,1.449285871915197532e+00,-1.190260529569265868e-01,-8.550459598468627131e-01
-9.707058377822711664e-03,4.296326218696777666e-02,-1.314753653640552411e-01,-3.903293502570198137e-01
-8.938869163286069022e-03,3.396041805885863935e-02,-1.392701285231311703e-01,-3.891566631350740213e-01
-8.344931230997380822e-03,2.551445472017732988e-02,-1.470419760223288241e-01,-3.880356250712290733e-01
-1.950144557755181113e-02,-1.143428966722114914e+00,-1.509369617785368545e-01,-1.325128380853218824e-03
-3.564580907213229372e-02,-4.720846842529685672e-01,-1.532559425181515278e-01,-2.304299443266081548e-01
-4.542882654770578205e-02,-5.076874935751726214e-01,-1.578316158576051620e-01,-2.270056944949179478e-01
-4.893949367302219411e-02,1.565606024669023988e-01,-1.646540082959782048e-01,-4.551885469581584132e-01
-5.093395956478113940e-02,-3.564450645265935802e-01,-1.721675763463345887e-01,-2.961549208571078728e-01
-4.436447534528142889e-02,1.011793922623777542e+00,-1.826938042613558966e-01,-7.562721479549148196e-01
-2.685811065467673397e-02,7.424965206656978234e-01,-1.970046910951688268e-01,-6.751490881400284971e-01
-9.911184141170880507e-03,9.544249132248245893e-01,-2.112527251748111679e-01,-7.498448933477710465e-01
-4.774823902007266710e-03,-4.395404670715069573e-01,-2.216124792714485869e-01,-2.863117299169820051e-01
-2.755841491647674849e-02,-1.844973519357915093e+00,-2.227023222022986304e-01,1.777840755990729993e-01
-5.791295668902027988e-02,-1.192265084822811572e+00,-2.214256252836707406e-01,-4.990053868091703926e-02
-6.567276339277164365e-02,4.188909099594435581e-01,-2.278055834068175300e-01,-5.882154665344863087e-01
-6.024007694215777198e-02,1.257242740931552305e-01,-2.387371499898230665e-01,-5.050712806060835280e-01
