Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-4.422209022542988865e-02,-3.613075793965715710e-02,3.275865173005359208e-05,3.279914167054424207e-03
-5.945962458023956732e-02,-1.495601825851791356e+00,4.778066142777021193e-03,4.718492009626714667e-01
-7.569321834367784274e-02,-1.226575305878799538e-01,9.606654233593104122e-03,1.068209155217757222e-02
-7.637738629052491512e-02,5.414560419828683135e-02,9.099488243561056067e-03,-6.137873185418046135e-02
-7.352620730400101501e-02,2.311296314538300034e-01,7.151807639942958476e-03,-1.333943806764281703e-01
-6.712035542100848462e-02,4.099025493131924769e-01,3.762970180284582866e-03,-2.055224312621991012e-01
-5.710516643762719030e-02,5.924386499914598980e-01,-1.071075305350398504e-03,-2.779501520523487423e-01
-5.518742608030976354e-02,-3.996440812112538321e-01,-3.484879155797470165e-03,3.643437306245331242e-02
-6.367643168813973131e-02,-4.506085174050121211e-01,-2.711692640345185652e-03,4.100465007243107862e-02
-7.087044696504513075e-02,-2.694119644622305909e-01,-2.617430943377738791e-03,-3.150765166947734619e-02
-7.447122052038256113e-02,-9.097635619278540697e-02,-3.969781471080569869e-03,-1.036861852808551310e-01
-7.451663067998696988e-02,8.638517068523654530e-02,-6.763752057867971311e-03,-1.756953878343069375e-01
-7.101269808512405968e-02,2.642185574208998355e-01,-1.099748406512330440e-02,-2.476880148056480602e-01
-6.393361264888128281e-02,4.442072693544631967e-01,-1.667224654637783701e-02,-3.198278586599014872e-01
-6.989789754843314662e-02,-1.044286700677331980e+00,-1.835690243563336405e-02,1.515948850859537012e-01
-7.458699996823474343e-02,5.772776715637631950e-01,-2.071764597461647067e-02,-3.877350219785551944e-01
-6.129631298780132548e-02,7.529329692743318425e-01,-2.918794652065680173e-02,-4.593931769626748429e-01
-5.623958751338599404e-02,-2.448053898495994307e-01,-3.522281430883752312e-02,-1.443505390891785534e-01
-5.925314181820626191e-02,-5.684611050252630360e-02,-3.883975724983108196e-02,-2.173043661036146434e-01
-7.044065456279091642e-02,-1.067189894252705828e+00,-4.003081053350033419e-02,9.859625452595419115e-02
-1.024379939125975303e-01,-2.155381723092904434e+00,-3.485613242932159017e-02,4.207295647968108954e-01
-1.291726849800087507e-01,-4.947161004296802833e-01,-3.185198623806057699e-02,-1.221241174853875400e-01
-1.539813911193182450e-01,-2.023016074555962440e+00,-3.015102876113013447e-02,2.952193531719038422e-01
-1.765617728650925033e-01,-1.965772265728732981e-01,-2.978159820111088082e-02,-2.613392410110582653e-01
-1.855033086784161900e-01,-7.047247828252444224e-01,-3.399801716659190537e-02,-1.597165259101381296e-01
-2.256015665174821716e-01,-3.488941110113377597e+00,-3.095978422936464594e-02,4.787178450940425822e-01
-2.750395164084646349e-01,-1.207470249737864876e+00,-2.714101533179318071e-02,-1.173510677636792066e-01
-2.775497389364125489e-01,9.730127884194508248e-01,-3.418174861033822232e-02,-5.880314467793797961e-01
-2.910524866754350959e-01,-2.497229834121434067e+00,-4.025623614404121031e-02,-4.925615960994500497e-03
-3.085666021497813771e-01,1.027719892084640652e+00,-4.654465478460086125e-02,-6.474847383615183194e-01
-3.318112265804278316e-01,-4.219194765611399944e+00,-5.346191926267455929e-02,2.871811128534401680e-02
-4.021824185370864724e-01,1.917174742942356902e+00,-5.024854645188682467e-02,-1.020295404395222261e-01
-3.090420141433448120e-01,5.001213687605610136e-01,-5.308899356747514425e-02,4.076355194557630957e-01
-2.929627877691309279e-01,1.071539501155291507e+00,-4.659040508921054313e-02,2.452753411504806080e-01
-2.470965947802673535e-01,3.235075105056289146e+00,-4.720180913165743231e-02,-2.829424994455322917e-01
-1.837767865750176699e-01,3.145630246544841135e+00,-5.389796111465759015e-02,-3.907375351962150134e-01
-1.091662266889326660e-01,4.283436023761965750e+00,-6.615681259344098619e-02,-8.324575155473619148e-01
-1.710097701323194663e-02,4.968046856683798751e+00,-8.564806327390647733e-02,-1.120289443730978718e+00
9.498904442010508431e-02,6.383726743224281464e+00,-1.119908008119634285e-01,-1.525525785667166456e+00
2.399797011216543707e-01,8.807529564178485870e+00,-1.444781617551719188e-01,-1.780118574045206792e+00
5.023933672170700637e-01,7.691122040874779131e+00,-1.894768508983067923e-01,-1.893600811429260178e+00
6.163036564392286865e-01,4.469912765878162553e+00,-2.272237087428646551e-01,-1.949374884219967852e+00
