Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-2.067383092288859608e-02,-1.669373901531516491e-02,1.514841234422691714e-05,1.516599765761544438e-03
-7.260811881347207716e-03,1.358336983598843917e+00,-4.566147422409006645e-03,-4.596172303403509019e-01
6.010507544814044575e-03,-2.894297478051444106e-02,-9.129124446327513756e-03,3.046092134782601990e-03
-1.465414431422073366e-03,-7.194769272171843699e-01,-6.760212077369882021e-03,2.338856340429155134e-01
3.055941645715796323e-04,8.964656880773805847e-01,-7.476130141825660692e-03,-3.053856243952959293e-01
2.071875876232937268e-03,-7.192825967635331219e-01,-8.189334914328076295e-03,2.339328576742459309e-01
-1.928066884992025304e-02,-1.419992747037979841e+00,-1.198542406596614374e-03,4.654635925631975812e-01
-5.974071873190213433e-02,-2.645741465718693064e+00,1.200191790851252993e-02,8.561759036610676610e-01
-1.142197986136328225e-01,-2.825907269398829857e+00,2.924907096657373973e-02,8.705257700105283325e-01
-1.712393950699160616e-01,-2.903475473323220424e+00,4.611692946842322477e-02,8.185670482835023520e-01
-2.182029879920106552e-01,-1.735287835415786351e+00,5.866563410921223076e-02,4.316319046913179580e-01
-2.855794105167002717e-01,-5.728540734201419404e+00,7.350638949823701251e-02,1.112971892103011839e+00
-4.280706085937711625e-01,-5.133198402833612839e+00,9.508755368916345374e-02,7.566935586063803232e-01
-4.995685470430313302e-01,-2.646247274368977997e+00,1.081013703645615914e-01,5.992660136558449757e-01
-5.337208159917590233e-01,-9.138622439680987863e-01,1.213598407737432328e-01,7.393339729868317889e-01
