Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
6.488689827078107653e-02,-1.833152105392961695e-01,7.265557164243594381e-04,7.265406659972203918e-02
5.937681513740471206e-02,-3.680942113392333126e-01,2.906678193326748920e-03,1.453863025548432775e-01
6.438095944675042981e-02,8.709587265972926762e-01,1.889280961842296474e-03,-2.472713349059793841e-01
7.764179664679703163e-02,4.551777006943861226e-01,-1.555412814835124228e-03,-9.724157219893672655e-02
8.502002992669337178e-02,2.832216725132768453e-01,-2.782433625922904608e-03,-2.552795029596371945e-02
9.144527539709167152e-02,3.604793650917567649e-01,-3.361491503345931213e-03,-3.248113308158862705e-02
9.700919786511791321e-02,1.963140237299205171e-01,-3.301350708007169590e-03,3.844438468810449511e-02
1.169447357022838085e-01,1.819603969990870596e+00,-7.341460849498938381e-03,-4.442407165566850114e-01
1.391716905216793809e-01,3.839448340198807763e-01,-1.157848560892447282e-02,2.201683943168580848e-02
1.346956576418364415e-01,-8.275857796808527844e-01,-7.242238231077769567e-03,4.112256555839874927e-01
1.168969142645631537e-01,-9.537909329283247306e-01,1.653093153311184504e-03,4.784413665701537921e-01
1.168124589911990752e-01,9.448354858608851714e-01,5.580576579112882935e-03,-8.556245011873556128e-02
1.450565592005077786e-01,1.906213980511766382e+00,1.349744729003805183e-03,-3.397050060110205494e-01
1.684343963280808543e-01,4.024528453816024198e-01,-7.489688969903137610e-04,1.321366026581960451e-01
1.694538942660464287e-01,-3.009234397377818504e-01,4.203591526517516663e-03,3.631166260321449513e-01
1.622986348519426802e-01,-4.149608821668617775e-01,1.212524605008680374e-02,4.290768155801675809e-01
1.528377413388724848e-01,-5.316626741234625753e-01,2.136811657450728152e-02,4.952554134981081990e-01
1.548773091264699087e-01,7.381537772575326173e-01,2.788884661752072044e-02,1.566592108111155290e-01
1.571168358074542248e-01,-5.162505967848241006e-01,3.494718723274097688e-02,5.492795559373218062e-01
1.596677852155093946e-01,7.747667813453933405e-01,4.253045311192315409e-02,2.088150524224634541e-01
1.741404876964901538e-01,6.737661214838639445e-01,4.735857272039249721e-02,2.738650903646626111e-01
1.866654365123295856e-01,5.798245694312035292e-01,5.348011655226484612e-02,3.381734171875933059e-01
1.941755733133991857e-01,1.686904282368690833e-01,6.172671990488424326e-02,4.866612142103347582e-01
1.933687725358678167e-01,-2.489367260760012024e-01,7.294913027723279320e-02,6.355215172801759183e-01
1.811779073299984444e-01,-9.611998659471299167e-01,8.797949311240688131e-02,8.667524672057451696e-01
1.790930178381661686e-01,7.476151280041125613e-01,1.009725622961734348e-01,4.330464135609825571e-01
1.931901079150689926e-01,6.635273963361087990e-01,1.102680866407011184e-01,4.963604766437931248e-01
1.991161946746745348e-01,-7.566820837436161185e-02,1.225273589073128250e-01,7.299161912322000845e-01
1.902217081514373520e-01,-8.063923941185280331e-01,1.394585076154484515e-01,9.625610962109379942e-01
1.673114401334548917e-01,-1.471425958768958875e+00,1.609917938906433588e-01,1.189665747529634832e+00
1.598637973571617743e-01,7.079639947496865204e-01,1.788821453983420184e-01,6.010141886507807119e-01
1.879239142345305591e-01,2.150755683638835514e+00,1.874141602236016613e-01,2.478565306749474506e-01
2.181725980743476900e-01,8.229173176503556952e-01,1.963190384820817092e-01,6.467811735710828902e-01
2.305108131720862152e-01,4.045976600678423130e-01,2.107366805027798551e-01,7.954686365256753433e-01
2.303176324917765583e-01,-4.233982547088633863e-01,2.290530788228268833e-01,1.036090582277306549e+00
2.140095491521426530e-01,-1.188874501735595945e+00,2.521430788049394689e-01,1.271352002073233622e+00
2.067899917420582545e-01,4.460899964392250894e-01,2.738469793174891365e-01,9.008327046138326910e-01
2.013412357408252695e-01,-9.799842296228783445e-01,2.959359220311162941e-01,1.307093816008235487e+00
1.972468063560955942e-01,5.602739110125184441e-01,3.184437918790033462e-01,9.446056916963145866e-01
2.010362393580087115e-01,-1.844273849035604762e-01,3.396695679939072954e-01,1.178187144828975352e+00
1.900026058733045031e-01,-9.098633556778248366e-01,3.655589806246530848e-01,1.409979615481589788e+00
1.960219002513796105e-01,1.532276318603076337e+00,3.876620297728410325e-01,7.987183642300924591e-01
2.129803987602794657e-01,1.318097967905926815e-01,4.076538454307578330e-01,1.203013628274475000e+00
2.079013915337995511e-01,-6.343413633231556048e-01,4.340699618344495136e-01,1.438121887352065364e+00
1.816790230700063291e-01,-1.946514881753905746e+00,4.668311556782041016e-01,1.834536337934368211e+00
1.543360663906731545e-01,-8.275913113114234942e-01,5.007941017041627196e-01,1.565118686578508500e+00
1.589678528773168786e-01,1.300657944654505904e+00,5.262572755688964543e-01,9.804691797147342402e-01
2.092799222845150298e-01,3.915511696209161396e+00,5.397745529446490442e-01,3.560161219932662657e-01
3.687104972842928929e-01,2.000000000000000000e+01,5.360560355584773617e-01,-3.631646430169190864e+00
4.605508578483940574e-01,2.335803851120082264e+00,4.885991578926914825e-01,-2.236165864752815757e+00
5.003804990070274128e-01,1.714266224742742040e+00,4.450500834838378994e-01,-2.124647534062920506e+00
5.389827269420600642e-01,2.099187216004582801e+00,4.050674758691865662e-01,-1.869588999197916213e+00
