Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
5.171235048696477821e-02,-8.973744343880638574e-01,3.057016059267669839e-03,3.055600558543996037e-01
2.719170639524534291e-02,-1.555588173993689649e+00,1.144441421597520124e-02,5.332446283163343459e-01
-8.334065634362054081e-03,-2.003872588253347686e+00,2.362714847236381185e-02,6.856042339800519914e-01
-4.169023408436993428e-02,-1.336000197592325689e+00,3.503999531466131523e-02,4.560991608936069142e-01
-5.710407956184605782e-02,-2.035081022658238314e-01,4.032869159829690492e-02,7.269460184626802546e-02
-5.691298333484862138e-02,2.225234487070166522e-01,4.027448119813215044e-02,-7.808445108375833277e-02
-4.820379956800208837e-02,6.485316128399318814e-01,3.720610059868197789e-02,-2.287515497874008652e-01
-3.329040213139862481e-02,8.444085290541707423e-01,3.189595351180050248e-02,-3.024002651942901965e-01
-2.597262282511927575e-02,-1.103622456571572430e-01,2.896151737588427075e-02,8.713116092205541729e-03
-2.374538330209484405e-02,3.331672753888689775e-01,2.761201474125359392e-02,-1.436487719204405378e-01
-1.262599905658529087e-02,7.798071165927844550e-01,2.321457137271921989e-02,-2.961696837043042985e-01
7.522261687934610891e-03,1.238054087842862083e+00,1.575928615954064888e-02,-4.496063748374827806e-01
2.778349580370919475e-02,7.906333686390174531e-01,8.301255411004557216e-03,-2.964539217005437433e-01
4.154879236197882297e-02,5.874939432281504059e-01,3.121547659661673933e-03,-2.216757635675741245e-01
5.841383295894600480e-02,1.103801868579659562e+00,-2.894619926049580086e-03,-3.803286149257033011e-01
7.394332804942527204e-02,4.481737681296504294e-01,-8.221889338786347520e-03,-1.523723000080340062e-01
7.872967917182729924e-02,3.043351994176102249e-02,-9.768482635556643978e-03,-2.314091373817578345e-03
8.487751711747677785e-02,5.866307347492465407e-01,-1.143725705443151587e-02,-1.647324921761674221e-01
9.495424467431112792e-02,4.218096512906904239e-01,-1.401965387028148574e-02,-9.359347620749834673e-02
9.183539473823341959e-02,-7.320604643845288750e-01,-1.204321388947085861e-02,2.910465022372693555e-01
6.348809510932919287e-02,-2.091936725327281366e+00,-1.619134098367861103e-03,7.504379448960827315e-01
2.945718089350819052e-02,-1.324871267668647601e+00,1.099618743865999823e-02,5.122907634548774514e-01
1.712346850938042606e-02,8.736715885615287114e-02,1.658845185449908666e-02,4.736181659200761063e-02
1.901665511457001356e-02,1.022096600909029318e-01,1.752200807786386677e-02,4.597057959289202467e-02
2.122303797295748209e-02,1.187306481371914191e-01,1.842626882816908451e-02,4.442831951111860661e-02
4.008282526200311613e-02,1.774753670634468872e+00,1.389420351766288905e-02,-4.981860672866476603e-01
8.345856025086546837e-02,2.585604163205786232e+00,1.542831440614893246e-03,-7.388212053259981538e-01
1.424782373563090454e-01,3.369594700605493376e+00,-1.499320746077873259e-02,-9.191698994102139864e-01
2.289847187375369519e-01,5.605259732015581697e+00,-3.727148580375880260e-02,-1.335431152058565774e+00
4.228996051952767510e-01,5.239734111081929768e+00,-7.463733893685310650e-02,-1.664272609563621996e+00
4.722465578201319736e-01,6.503811496355659250e-01,-1.071936771118024156e-01,-1.673919634598503015e+00
4.594584798584318008e-01,-2.051231964355816118e+00,-1.419281453418588523e-01,-1.788892912217296294e+00
4.191258711754425326e-01,-1.936907608523928070e+00,-1.760330314247977312e-01,-1.625466328683698336e+00
3.872640941495451017e-01,-9.136037941744303836e-01,-2.073989342132705471e-01,-1.539805586031834039e+00
3.688355541108847557e-01,1.699825522405113887e+01,-2.420903619233959470e-01,-3.449977067505332062e+00
3.977063748641108676e-01,-3.429812514597615714e+00,-2.886051780484702456e-01,-2.111811853837379793e+00
2.989393809034060490e-01,-2.838524196028939350e+00,-3.281378201621191204e-01,-2.150946686317987133e+00
2.945776169104062925e-01,2.292695887613534822e+00,-3.796125547265600253e-01,-2.987195210026376557e+00
3.597462053897704792e-01,9.040263039955446445e+00,-4.403887896428506643e-01,-3.498159417656060199e+00
4.501123463025301086e-01,2.726119128049508511e+00,-5.019264829174072684e-01,-2.893251592447498854e+00
4.694117952163587293e-01,-5.329376585935050592e-01,-5.607997797724425526e-01,-3.016933992874843096e+00
4.212568823689409325e-01,-5.283542606218443183e+00,-6.219484766412881616e-01,-3.011433750900114337e+00
2.742775188962462973e-01,-2.723136781253731264e+00,-6.822941230888753816e-01,-3.601339714264323977e+00
2.599004571711616141e-01,1.086462393683458760e+00,-7.617157733829383881e-01,-4.324083268322718610e+00
3.362212196027438149e-01,9.924086403704194481e+00,-8.568013928826114789e-01,-5.000000000000000000e+00
4.982013396311785192e-01,5.324498286030253880e+00,-9.503693973420533903e-01,-4.289085858482751590e+00
5.970922547930812563e-01,4.654568422651076176e+00,-1.031357657460459709e+00,-3.817742470987822490e+00
