Angle (rad),Angular Velocity (rad/s)
3.006733357745142499e+00,6.684583365380600828e-01
3.021191013876214804e+00,7.741394390828888472e-01
3.019655509853857112e+00,-9.288734873170788608e-01
2.983155075461801253e+00,-2.774782939105214563e+00
2.936383664228885415e+00,-1.849045488567693685e+00
2.876362850264644777e+00,-4.488792604226466310e+00
2.726901229798167403e+00,-5.987992283960125839e+00
2.621014898033475315e+00,-4.956894132292914534e+00
2.535724862335406282e+00,-3.768197312996695025e+00
2.463410687244043107e+00,-3.491326379255152546e+00
2.394579323241320612e+00,-3.399639299473387499e+00
2.330532615161633014e+00,-3.031560306878247957e+00
2.269344802341840328e+00,-3.085721812590084490e+00
2.210102731627063832e+00,-2.852584253621653687e+00
2.152305803016378860e+00,-2.925856266433493502e+00
2.095172531206480837e+00,-2.795616863792707463e+00
2.038674669249635141e+00,-2.854330935478519571e+00
1.980259499162589032e+00,-2.984622519444277700e+00
1.920576939014867035e+00,-2.986957383056351834e+00
1.860655029667686033e+00,-3.008256786310361530e+00
1.799454316539632392e+00,-3.111460391832569616e+00
1.735984446181501273e+00,-3.234372653502302519e+00
1.670651755720582665e+00,-3.302715111190272168e+00
1.603586765753601151e+00,-3.406005096570714930e+00
1.534328653895220329e+00,-3.524534760832300329e+00
1.462542495197998393e+00,-3.656803263585745700e+00
1.387608559221744864e+00,-3.843584883437624278e+00
1.308926280322439073e+00,-4.030371773697609683e+00
1.225258544341909062e+00,-4.350455102776875194e+00
1.135573208803992484e+00,-4.629536679732799698e+00
1.038681462753022533e+00,-5.084065190765690190e+00
9.309023680312057403e-01,-5.738176992557997735e+00
8.086605200735966781e-01,-6.556702959785088325e+00
6.587420430754192813e-01,-8.767574840043891982e+00
3.991274257089788002e-01,-2.000000000000000000e+01
1.168852877042725891e-01,-9.720536148996210102e+00
-5.218414089241138476e-02,-7.606255253023213037e+00
-2.301118037115833237e-01,-1.126560263500422998e+01
-5.681526288919697132e-01,-1.069389662033035826e+01
-7.461621058395652151e-01,-7.731316495822020407e+00
-8.875839287061810801e-01,-6.543009314950594124e+00
-1.009227011804019636e+00,-5.690505136815338538e+00
-1.116918716842979054e+00,-5.114959824105582697e+00
-1.215753898898760621e+00,-4.784491707100085200e+00
-1.308815133536755715e+00,-4.532173990659153162e+00
-1.397475358402073153e+00,-4.340673298416412251e+00
-1.482281309045194062e+00,-4.149019721109724834e+00
-1.563946660593495963e+00,-4.020729128465075242e+00
-1.643248012806164393e+00,-3.913571485129076155e+00
-1.720777872826939170e+00,-3.844861374432716250e+00
-1.796702693962964448e+00,-3.748293787382852571e+00
-1.871636204258095626e+00,-3.751051445168442022e+00
-1.946252210238557323e+00,-3.712983701521687774e+00
-2.021066832144164493e+00,-3.775560655208210381e+00
-2.098226280130871757e+00,-3.953501887342909527e+00
-2.177679126993728786e+00,-3.996738134383469809e+00
-2.259730010925097954e+00,-4.225594721188226544e+00
-2.348556620056780009e+00,-4.696596567955499957e+00
-2.445886508717651786e+00,-5.072994756209528333e+00
-2.552806898620752385e+00,-5.702000445522040550e+00
-2.672443569369138405e+00,-6.395279287797154488e+00
-2.857060439235085791e+00,-7.555055976037574617e+00
-2.974687297287727183e+00,-5.025992352812692410e+00
-3.073033646034005084e+00,-4.873974653884672215e+00
-3.167026602853076245e+00,-4.571071087903038510e+00
-3.252447279597755703e+00,-3.983464449843773458e+00
-3.320477481374203510e+00,-2.759298705177811506e+00
-3.366162027690843050e+00,-1.739617818072650257e+00
-3.399321492257972643e+00,-1.558970853743155693e+00
-3.412114676021653636e+00,3.520071799060366935e-01
-3.426041517860711316e+00,-1.840815932198443861e+00
-3.451859913172856675e+00,-5.850409997209022883e-01
-3.511262796781912776e+00,-1.260786049624626415e+01
-3.587626825056050350e+00,-2.281189563173838142e+00
-3.646107178458633413e+00,-3.351314683025312213e+00
-3.713519631647762775e+00,-3.381296127693354414e+00
-3.785854323154756340e+00,-3.798125246357040741e+00
-3.861568276192000937e+00,-3.773812841205301361e+00
-3.930759129007611374e+00,-3.191311199181298353e+00
-3.994429179029265420e+00,-3.177998021540645368e+00
-4.059915573056292359e+00,-3.361610730742977005e+00
-4.128285789615493862e+00,-3.471328252147873883e+00
-4.196593081208947140e+00,-3.367379439468768609e+00
-4.264091108977154931e+00,-3.384522869904454723e+00
-4.331549544866061474e+00,-3.365697420069660328e+00
-4.399824931778572257e+00,-3.461135120982594238e+00
-4.469458875365043049e+00,-3.504990219087401826e+00
-4.540288700695952251e+00,-3.579875937200002411e+00
-4.612736816081882019e+00,-3.667216733948754470e+00
-4.687053093409728532e+00,-3.767632826193395346e+00
-4.763584049394797404e+00,-3.887237973479554132e+00
-4.842682091672311451e+00,-4.026101824399843210e+00
-4.925341957148237526e+00,-4.250152562608547235e+00
-5.013252742633331316e+00,-4.555600535577362997e+00
-5.108146888443276801e+00,-4.954469806433797530e+00
-5.210839083300340846e+00,-5.334714478297841289e+00
-5.324402887251193484e+00,-6.074428639540231600e+00
-5.455008829481937660e+00,-7.079657538664013927e+00
-5.616314873320440881e+00,-9.414884415514070071e+00
-5.875544777973579436e+00,-2.000000000000000000e+01
-6.291687892360762646e+00,-1.657556542821391332e+01
-6.739654489409875993e+00,-2.000000000000000000e+01
-6.983224872367689073e+00,-8.888907499265405576e+00
-7.140971447334288236e+00,-7.130115575509441861e+00
-7.274157806571491136e+00,-6.264875226300900657e+00
-7.392948829897769691e+00,-5.656364869678784935e+00
-7.501672630015996823e+00,-5.239901056000268120e+00
-7.602842374531686431e+00,-4.895696520535624430e+00
-7.698271835425528842e+00,-4.658984559981427687e+00
-7.789862167245424907e+00,-4.505703502860694876e+00
-7.878720784207073002e+00,-4.383496355869074712e+00
-7.965334531941043572e+00,-4.280795132624881205e+00
-8.050054108819871601e+00,-4.193348775169086551e+00
-8.133706319807155083e+00,-4.177847872965136489e+00
-8.218000326653372767e+00,-4.262194683622679392e+00
-8.303560698740714230e+00,-4.300236135140317550e+00
-8.390934620215187323e+00,-4.449747526527669805e+00
-8.483589069451943132e+00,-4.846228708780301986e+00
-8.586054708909161448e+00,-5.454081929821732899e+00
