Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
7.354349036070093049e-02,-1.139831290329258451e+00,3.838316498137745499e-03,3.834521730635687686e-01
6.097796111931500646e-02,-1.233259137469290279e-01,8.335462537558751064e-03,6.686886543798778448e-02
7.574957736675887177e-02,1.611589187203372298e+00,4.186356453038963567e-03,-4.826211306625325381e-01
9.178587581134994844e-02,-1.681305518518677600e-02,-7.027101435960018418e-05,5.758235625450487671e-02
8.978004904492997706e-02,-1.838485473557332772e-01,1.792365050191951914e-03,1.286789984154014799e-01
8.197818768697417990e-02,-5.959064689090023403e-01,5.859186150589358426e-03,2.779536218035354445e-01
7.561223651115227262e-02,-4.319297750020534288e-02,9.792180648213456157e-03,1.155845946975873340e-01
7.297747022776246428e-02,-2.204265074544333181e-01,1.282373015379769526e-02,1.875739616049821590e-01
6.678391993717275321e-02,-3.993600056008604904e-01,1.729582345100592541e-02,2.596669130788275548e-01
6.891506512299391818e-02,6.133370530915505103e-01,1.932768841524602418e-02,-5.650409943394255063e-02
9.894359339575806156e-02,2.419641918349613618e+00,1.266814919755061136e-02,-6.118674438987632414e-01
1.496177510164976576e-01,2.674504027816718477e+00,2.435273392570620060e-04,-6.328315282099832295e-01
2.237930572569432341e-01,5.018429095609345580e+00,-1.702492703392719312e-02,-1.116756034836444478e+00
3.342476728078943582e-01,7.253537177197441288e+00,-3.785934467144245336e-02,-1.069655033052437920e+00
4.536821409176773900e-01,3.057878449826720857e+00,-5.680472146129596916e-02,-6.957885152355133274e-01
5.046612301884653151e-01,2.170482259445011053e+00,-6.926885186570994057e-02,-5.620459986775084849e-01
5.369753349165727885e-01,1.137069882673183319e+00,-8.071942132396243974e-02,-5.897459949694557890e-01
