Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
9.209708033789146264e-02,7.924054965153137786e-02,-7.158478752928302191e-05,-7.169903693358375962e-03
9.201501053857195911e-02,-8.740519261610339707e-02,4.963306244478741733e-04,6.394689456504386305e-02
9.353198152834699131e-02,2.395152585929815059e-01,9.188156410176327640e-04,-2.172070568599533680e-02
9.667588116639211360e-02,7.511490450033458943e-02,1.194016774860679744e-03,4.920612778267240139e-02
8.911245118665742093e-02,-8.289239809139956616e-01,5.239602830424879357e-03,3.551052688469830132e-01
7.093121330026941340e-02,-9.908989341206043688e-01,1.304521203561759268e-02,4.256050978203933521e-01
5.414257837414798019e-02,-6.923186339616149709e-01,2.071926208093999994e-02,3.421897605681260557e-01
3.840625987283985410e-02,-8.829701109374846757e-01,2.829240874789420296e-02,4.152676548354031216e-01
2.572502829975086003e-02,-3.881395567713555872e-01,3.502134457660941586e-02,2.579104310923366894e-01
1.352377644711524884e-02,-8.331147896762132188e-01,4.170139981846558708e-02,4.101781209612902490e-01
-5.365049136794718121e-03,-1.058622031286696963e+00,5.066408558821564045e-02,4.863340681811694211e-01
-4.293971024523771801e-02,-2.714677710682384948e+00,6.579864996335421656e-02,1.028370553131552567e+00
-9.116511973914037670e-02,-2.112103144748592953e+00,8.411830430454117491e-02,8.040170388802951873e-01
-1.171708203585368202e-01,-4.691965762771772575e-01,9.479600325792550408e-02,2.622814230229846277e-01
-1.462609609166011793e-01,-2.490894600121756675e+00,1.057358500809913310e-01,8.358495863376826929e-01
-1.788305209842128152e-01,-7.149780285747340258e-01,1.169640662035207196e-01,2.828734010443331170e-01
-2.182780799438728270e-01,-3.393509313607707689e+00,1.287773404163427005e-01,9.119556988703940714e-01
-3.330063769340735891e-01,-1.191358339561088542e+01,1.538161923023296795e-01,1.913476808096958193e+00
-4.905726367665893539e-01,-3.951244289911092000e+00,1.858338494166045518e-01,1.317520667686596925e+00
-5.440179310506343402e-01,-1.699511163235615463e+00,2.134217637665987155e-01,1.468218073433335880e+00
