Angle (rad),Angular Velocity (rad/s)
3.012070251524351150e+00,1.193450306915380343e+00
3.034163869461604435e+00,1.016009920769800345e+00
3.047744717948393856e+00,3.454392050745984655e-01
3.072445361267958308e+00,2.102706695488325117e+00
3.126223727507576822e+00,3.264100969998185775e+00
3.203226360422940733e+00,4.466654867544181506e+00
3.289680039208742635e+00,4.198637787518390674e+00
3.400544579076903329e+00,7.583014471101975573e+00
3.601216069416453447e+00,6.052674749900892159e+00
3.687591569346062581e+00,3.269710779441708404e+00
3.758868875473594162e+00,3.785643595890113566e+00
3.836234219278499502e+00,3.931444914262485657e+00
3.912975609138223287e+00,3.757509674986353243e+00
3.983439690546973999e+00,3.321145409755593469e+00
4.046790833515406582e+00,3.032440819883641669e+00
4.105662161081293782e+00,2.865083381474630375e+00
4.163140993223507280e+00,2.884247486971625030e+00
4.222257875901395785e+00,3.023813905277850989e+00
4.284166005241863751e+00,3.163639740036718884e+00
4.347260441169655820e+00,3.149874438415581235e+00
4.411082990365617462e+00,3.232480618783158732e+00
4.476472071366333516e+00,3.307469862607122835e+00
4.543802462085538174e+00,3.424682968855131016e+00
4.613437194698113863e+00,3.538557868749171664e+00
4.685348082120915691e+00,3.652927789221383392e+00
4.759582987103712526e+00,3.771608806378806023e+00
4.836416357500288754e+00,3.916203722052040259e+00
4.916749328044262235e+00,4.126099546568353205e+00
5.001624774899046777e+00,4.371569900081337501e+00
5.091120714668596392e+00,4.585432916258733727e+00
5.186592728480897030e+00,4.981765235012037607e+00
5.290720454405650308e+00,5.458875269360675020e+00
5.408527581099477288e+00,6.398872676768332823e+00
5.553375544397285424e+00,8.332647445257657992e+00
5.749767706489985919e+00,1.232889052904886995e+01
6.094908891875882695e+00,1.182865983952875233e+01
6.289698522284416171e+00,8.693483484031329311e+00
6.465136611443346837e+00,9.339589105593898211e+00
6.720158520105015576e+00,8.732511329939082856e+00
6.857637973974833656e+00,5.907183267310476715e+00
6.952999089292283053e+00,3.906728401751049962e+00
7.023351152133045616e+00,3.181866803873659499e+00
7.086362125975631088e+00,3.116478453249234892e+00
7.142358650784649043e+00,2.511271679543276569e+00
7.191603121753572303e+00,2.413776632596361438e+00
7.237920436927187673e+00,2.222264289715337515e+00
7.281519899801402573e+00,2.137830025931586775e+00
7.323695801675762063e+00,2.079048990610905090e+00
7.363070446634105259e+00,1.862411037288406401e+00
7.398935131640749674e+00,1.725498127623242617e+00
7.432682937323778383e+00,1.649089117902429402e+00
7.463265629484633124e+00,1.412535854349411979e+00
7.489891549796888981e+00,1.251481707159856516e+00
7.513239883723526802e+00,1.084682499455000393e+00
7.532950687083149077e+00,8.879608197883855913e-01
7.550096327271727858e+00,8.261720175837387048e-01
7.565543593445709369e+00,7.186960055597034769e-01
7.578745811483716288e+00,6.017348180616028941e-01
7.588835638934805949e+00,4.080443095280205656e-01
7.596132429815618536e+00,3.215523669996745437e-01
7.601786459499463966e+00,2.437388560068564636e-01
7.606057346491952309e+00,1.831957072417427224e-01
7.608403830687776370e+00,5.151614778501556469e-02
7.608206773966309733e+00,-7.122554412798691448e-02
7.605993993723183522e+00,-1.500175878131011220e-01
7.601851348816235365e+00,-2.642971385602768120e-01
7.595054458378692530e+00,-4.156822017282966186e-01
7.585682062146575255e+00,-5.216143668974547731e-01
7.573495843591852683e+00,-6.977734312545137429e-01
7.558048518100615176e+00,-8.476099641486962710e-01
7.539449837481940975e+00,-1.013274777430969387e+00
7.518315698101084799e+00,-1.100052755448182040e+00
7.495712301824854151e+00,-1.159782935050597263e+00
7.470523112925777198e+00,-1.361214336291345361e+00
7.442885297928726551e+00,-1.401667329063095657e+00
7.413122212581733983e+00,-1.576600762987663051e+00
7.380111748277699668e+00,-1.726066761843043196e+00
7.345278818366222318e+00,-1.755951830095001442e+00
7.307315376006394025e+00,-2.046423724441103875e+00
7.265567282712324548e+00,-2.128496902632911247e+00
7.221860677519670979e+00,-2.243449888111327617e+00
7.176127360866161986e+00,-2.330162403656647285e+00
7.129060415682714869e+00,-2.374975380290492044e+00
7.078235502265251888e+00,-2.720595814615284880e+00
7.021985536985059007e+00,-2.910229369460902049e+00
6.959204235685225726e+00,-3.397561379694888473e+00
6.886433359561913825e+00,-3.921627223130581541e+00
6.784762241130582794e+00,-6.810733711405019264e+00
6.536049599128427978e+00,-1.126810020773399401e+01
6.338022280740731595e+00,-9.886003479918826997e+00
6.120388477743728295e+00,-1.286026282539512877e+01
5.735370284488556791e+00,-1.247393387069036486e+01
5.538262794592446525e+00,-8.373293198869342646e+00
5.386621082241192404e+00,-6.961525615086799235e+00
5.257576459049237982e+00,-6.023432775447241205e+00
5.142386532264114685e+00,-5.526914132752239084e+00
5.036893537853896596e+00,-5.050613211498973243e+00
4.938516345465211899e+00,-4.798626406640090991e+00
4.844359033673408810e+00,-4.623523019626179398e+00
4.753629340113803003e+00,-4.458365918632024361e+00
4.665685113300183318e+00,-4.341517879609892105e+00
4.579845030514510640e+00,-4.245627658647871172e+00
4.495579535364493395e+00,-4.185100646454162465e+00
4.412366925981581645e+00,-4.139522969507188677e+00
4.328985651135869972e+00,-4.207725424132196856e+00
