Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
1.289622589689511101e-02,4.705483687745309895e-01,-1.547819471268724973e-03,-1.548174975932498920e-01
2.243727877759305739e-02,4.849158153762344048e-01,-4.654517493332096037e-03,-1.559748767123760593e-01
4.168192377439319807e-02,1.445458587399153672e+00,-1.088108581007495024e-02,-4.671394544140318184e-01
5.930205514046711646e-02,3.143515851930080984e-01,-1.639187633509617964e-02,-8.383923992920083723e-02
5.896572970761761179e-02,-3.478155068394069294e-01,-1.578581127608741363e-02,1.443964596795183353e-01
4.069873856358227626e-02,-1.476214523750492447e+00,-9.070239636935182453e-03,5.269024742318221266e-01
-5.965628549849111284e-05,-2.604542225059160998e+00,5.287203311963655297e-03,9.092219536161874061e-01
-6.892812708768855656e-02,-4.334172109119473149e+00,2.890601312198623832e-02,1.456851826531301741e+00
-1.789714085247210706e-01,-7.000770182596337321e+00,6.401259982040241603e-02,2.080844318800190607e+00
-3.884743658679016831e-01,-1.312749825493741440e+01,1.107751901654420584e-01,2.501329512039525138e+00
-5.418666649090719822e-01,-6.070604081980984112e+00,1.472328818588630739e-01,1.476312806284138412e+00
