Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-6.706911095074274964e-02,-1.239923372808470425e+00,3.920936527976081991e-03,3.925743691629437482e-01
-1.074796411583059386e-01,-2.841604234273618079e+00,1.654095872876134785e-02,8.727137265254306664e-01
-1.646607568803137578e-01,-2.902704871381189378e+00,3.343969176338958127e-02,8.193644490929634649e-01
-2.216742199369334532e-01,-2.820063221746020421e+00,4.857846437210652096e-02,6.963452546300863411e-01
-2.937826896568443980e-01,-4.856080039542119309e+00,6.439457330152918713e-02,9.241341126548741070e-01
-4.209355953221752822e-01,-2.295775128333096937e+00,8.692076216732731730e-02,8.593814764237210913e-01
-4.662997730998635904e-01,-2.228196620363628533e+00,1.023341521891994316e-01,6.809588470687268913e-01
-5.176238612755337254e-01,-2.796999042229829424e+00,1.130778645392976622e-01,3.841530485708735676e-01
-5.653720857869863892e-01,-2.046090849887884033e+00,1.200578082038454703e-01,3.199389408583994121e-01
