Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-4.776446863936227583e-02,-3.912358881785919090e-02,3.546579484564282939e-05,3.551021387048362669e-03
-3.251541592992450436e-02,1.560921848803073608e+00,-5.272115691537876403e-03,-5.339873376430516183e-01
7.369526786856367981e-04,1.770623069159255047e+00,-1.669323773012212214e-02,-6.086640488441927843e-01
5.029940245270168864e-02,3.209338797820575628e+00,-3.350744543238211304e-02,-1.074666010469349064e+00
1.163258257061013795e-01,3.429326302240736535e+00,-5.514367174428076723e-02,-1.091943493991778036e+00
1.837155587517723121e-01,3.339447061050310861e+00,-7.571524134339036038e-02,-9.677213893084374297e-01
2.402289027998734672e-01,2.239620566451478112e+00,-9.131151880042608082e-02,-5.860046566368476428e-01
2.691559094603392932e-01,5.396276859755055888e-01,-9.881438930509617302e-02,-1.549131343011040940e-01
2.913692745387635452e-01,1.786793543111682814e+00,-1.034661037146150930e-01,-3.190575306992112226e-01
3.689356632466758157e-01,7.110467356761475344e+00,-1.139613099269156798e-01,-8.220931822013566315e-01
4.553936759749133145e-01,3.826095871734935372e+00,-1.227381013266226756e-01,-2.509474942676996889e-01
5.156388133432568965e-01,2.449170096658272566e+00,-1.263514063424666101e-01,-1.323067564478569436e-01
5.643983966656274109e-01,2.417807127867800165e+00,-1.266822474187949965e-01,9.992712498502054341e-02
