Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
9.194129165075895505e-02,-1.660619195215829458e-01,7.106223710148997386e-04,7.105761787720926703e-02
8.204966931734243574e-02,-8.213975416930263673e-01,4.407331791492508262e-03,2.984495297489573318e-01
5.200048922241061466e-02,-2.174852492880664734e+00,1.497272527957137743e-02,7.573374588801892182e-01
4.465723741958256554e-03,-2.589251459122637211e+00,3.160356521356596365e-02,9.066333383875512242e-01
-5.689890013661387524e-02,-3.578819472111747224e+00,5.283746637147911096e-02,1.219333300806193288e+00
-1.208151358358259680e-01,-2.816936374085673211e+00,7.426190442351107701e-02,9.235286266758404583e-01
-1.749545477799368531e-01,-2.608204153262347891e+00,9.138642770869895293e-02,7.899073664391552674e-01
-2.087744109339048082e-01,-6.965759980879875357e-01,1.016032483383621926e-01,2.255029684737798190e-01
-2.367883616984007844e-01,-2.188161178800808848e+00,1.090367973770522692e-01,5.247596028632094400e-01
-2.649125111194506332e-01,-5.209641969891540825e-01,1.153347924373911426e-01,9.652242954586215395e-02
-3.178778515600804155e-01,-6.037521277076058901e+00,1.243230568054563834e-01,9.081193446113020595e-01
-4.271582056752649126e-01,-4.690398123497350191e-01,1.452207599074507860e-01,8.170730780537382998e-01
-4.209925979051140077e-01,1.141952412763645563e+00,1.608285530940925800e-01,7.388630514799702231e-01
-3.173631222135250285e-01,2.926532830399066754e+00,1.720767315987558888e-01,9.166935932161033307e-01
-3.204919374055216208e-01,-3.371896853179377374e+00,1.990897574952367743e-01,1.795626912886257864e+00
-4.311687478881763846e-01,-3.393902360627258474e+00,2.385205778214497252e-01,1.783259220072573648e+00
-4.987199770106806040e-01,-3.331111702706322397e+00,2.712497221095289679e-01,1.487134007728480034e+00
-5.658229487304203831e-01,-3.351176156886759294e+00,2.975529980433225252e-01,1.140825022032224245e+00
