Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-7.267413426581176283e-02,-5.382255640054576240e-01,1.607189698127960142e-03,1.608416737467368574e-01
-8.411914818478900824e-02,-6.083365043615731604e-01,4.883788743064445929e-03,1.670000653426973181e-01
-9.709930567200364404e-02,-6.922397809071196839e-01,8.295260545486958167e-03,1.743716858593660768e-01
-1.119246303896385547e-01,-7.935859967773106760e-01,1.186878486091610084e-02,1.832675692158110825e-01
-1.160596390656491311e-01,3.823147358301614562e-01,1.167039800083376211e-02,-2.032239707662807926e-01
-1.094673405497406660e-01,2.783697177055879379e-01,7.702685348730521804e-03,-1.936764157220946525e-01
-1.048769539289778341e-01,1.816305579555132499e-01,3.919074416015708683e-03,-1.847707118846963203e-01
-8.475254664690107242e-02,1.816867006096847037e+00,-5.189838540256166630e-03,-7.249124003855559328e-01
-6.619733677113263937e-02,5.510370977702983009e-02,-1.414965096470158570e-02,-1.725267126085946179e-01
-8.249730662652000890e-02,-1.698542008555619542e+00,-1.209860811550413431e-02,3.786662707696913932e-01
-1.002203578871875417e-01,-6.265398058068361031e-02,-9.924399132639203855e-03,-1.620530827135042706e-01
-1.023662952062969200e-01,-1.523584267602613174e-01,-1.308327193718237733e-02,-1.537984738889339176e-01
-1.063389172307905584e-01,-2.457052567648062014e-01,-1.607425143563866524e-02,-1.452301112028846208e-01
-1.122351655529760101e-01,-3.451679264717421591e-01,-1.888894988714749992e-02,-1.361313647580974506e-01
-1.384992426089814710e-01,-2.323605278735408675e+00,-1.594284627058643183e-02,4.341673629540353518e-01
-1.678516053918235607e-01,-5.700831948780438196e-01,-1.273301637609168188e-02,-1.164953042748827494e-01
-1.811994479074077180e-01,-7.703495141268996704e-01,-1.488886512259059852e-02,-9.860946361252018177e-02
-2.054332076408305063e-01,-1.689140831667302667e+00,-1.495531483604783940e-02,9.495196851726864229e-02
-2.251307267560997138e-01,-2.379206051073764483e-01,-1.711603874396038297e-02,-3.144815420011555229e-01
-2.615157013022850752e-01,-3.692590876719266113e+00,-1.669238139235398530e-02,3.810930879669536253e-01
-3.095877090388829411e-01,-5.689665698111632253e-01,-1.528890349886902374e-02,-2.863858250022984775e-01
-4.063026073426430074e-01,-3.002864762197325010e+00,-1.040676454011674711e-02,2.513703906038778912e-01
-4.457952805965053611e-01,-1.316578430985179793e+00,-7.125908760558851383e-03,1.085972488255487756e-01
-4.428305860471609678e-01,1.650045532960306094e+00,-4.555287325507742166e-03,1.452563016071452551e-01
-3.413822301861987873e-01,9.422241255028628970e+00,-5.777426792531476646e-03,-3.581080408500122991e-01
-2.550471675415484363e-01,2.395452521676953772e+00,-2.612496224568145071e-03,4.065096944710341331e-01
-2.100147910620089597e-01,2.150492128678345605e+00,5.184668786669848969e-03,3.696184203337210539e-01
-1.741209319250784093e-01,1.482475941872006819e+00,1.375505599146433465e-02,4.837573013288880563e-01
-1.383700198617233701e-01,2.081245540363068525e+00,2.118910360114841657e-02,2.605849121952896197e-01
-1.090604715164762845e-01,8.812841024610507112e-01,2.974356995864318315e-02,5.921797589831510056e-01
-8.747995519238428719e-02,1.275949949521701932e+00,4.010154212230181842e-02,4.436835120162454515e-01
-5.323264123805215159e-02,2.145037833677304384e+00,4.593531486315522577e-02,1.400144473823742852e-01
-6.272849366708133090e-03,2.561111829356121916e+00,4.724139346695552938e-02,-1.025576116509285818e-02
3.582520482948426538e-02,1.656591892227842422e+00,5.010780497135770839e-02,2.961636558814781384e-01
6.008292945832569010e-02,7.682949730856296622e-01,5.907714226030562343e-02,6.007681931832820066e-01
8.817090023491946926e-02,2.059933608379071579e+00,6.713340864324437995e-02,2.032959950260491144e-01
1.157193768055130717e-01,6.793101531981519114e-01,7.579897640851869511e-02,6.644417641004424224e-01
1.331695750832543046e-01,1.073652187714425832e+00,8.817423090681303366e-02,5.724240007784061612e-01
1.399502810018592169e-01,-4.022279679104769912e-01,1.043036413109429406e-01,1.040982929270961588e+00
1.359690055304673684e-01,2.076934302579436231e-03,1.241878704628585767e-01,9.476262187406437887e-01
1.400314650283432660e-01,4.060958378264498125e-01,1.422094287584907135e-01,8.543805461369523568e-01
1.523792793615215690e-01,8.354620706550159870e-01,1.583495709823499464e-01,7.590751657403177477e-01
1.738685825679973374e-01,1.328862373172847722e+00,1.725377203002416704e-01,6.584598636221142831e-01
1.875139329603712490e-01,1.691965003530659928e-02,1.896619968907067300e-01,1.055440304037016386e+00
1.806512503746290910e-01,-6.981475375828918306e-01,2.130857823422819264e-01,1.286493339366489685e+00
1.717495643070545697e-01,-1.989454179033426917e-01,2.377917028386331288e-01,1.184697912034230249e+00
1.494037456746282744e-01,-1.999066393446814249e+00,2.670460669576226742e-01,1.737657096847258886e+00
1.302506946293681966e-01,4.713870561207000875e-02,2.959911715606355909e-01,1.159983083289143124e+00
1.351253036707474597e-01,4.425275032735823677e-01,3.182657268473078616e-01,1.067299441046281050e+00
1.346043833446904647e-01,-4.940914243046027887e-01,3.426875540200601811e-01,1.374792087646867111e+00
1.447971948169010092e-01,1.531741542267947676e+00,3.644408267781062416e-01,7.991001841613776246e-01
1.605534340970406482e-01,2.478961837078674790e-02,3.851177059422147830e-01,1.270070598588401323e+00
1.656198142182662980e-01,4.850632173934005253e-01,4.095373219593785863e-01,1.171634837290622677e+00
1.802254334792803281e-01,9.865596427180461925e-01,4.319609961559332523e-01,1.069817083413346026e+00
1.836317696770933539e-01,-6.517625811455439733e-01,4.581697191232772526e-01,1.551458185200897510e+00
1.943417156237268739e-01,1.757979455342149055e+00,4.831412216040337770e-01,9.428603755424489474e-01
2.301456177908608736e-01,1.839275398454934818e+00,5.025047364642404313e-01,9.920469874860403658e-01
2.514430112230314207e-01,2.224525171533804357e-01,5.265139948031229977e-01,1.414452776297520309e+00
2.957537826335663866e-01,4.890118142185869488e+00,5.473820570373608696e-01,6.154333742932530660e-01
4.477164267678666598e-01,3.064785705249586822e+00,5.514111118407721834e-01,3.969112012317039806e-01
4.757769931587176870e-01,7.585726573864071121e-02,5.587201018257390572e-01,3.049257865220469377e-01
4.467471613386928553e-01,-3.345411437029099488e+00,5.633781064212970424e-01,1.927242695863920496e-01
2.919281007996104571e-01,-4.633130311748958619e+00,5.709311813688755510e-01,-7.101914309999737829e-02
2.499038314475671985e-01,-1.701990832442263901e-01,5.612031264477723713e-01,-8.513948703426381659e-01
2.834602780342815320e-01,3.936626173107061089e+00,5.370186762992105178e-01,-1.601284472681994586e+00
4.399140321197381742e-01,3.970334069806494171e+00,4.946698549499423114e-01,-1.974815226120226086e+00
4.775355249715741435e-01,3.271504841365718841e-01,4.547291358056274047e-01,-2.065673767977330488e+00
4.723292414504989267e-01,-8.675444375303279498e-01,4.132625361332008529e-01,-2.079256844473463595e+00
4.434889185763931652e-01,-2.152208926368561759e+00,3.720826367749226482e-01,-2.026947279952964642e+00
3.128723759178376196e-01,-7.369019414373205734e+00,3.368114458851673709e-01,-1.788935152596081490e+00
1.861468593189532783e-01,-6.059181384879467558e+00,3.022483823400842207e-01,-1.604306581755984729e+00
9.126173805264216343e-02,-3.704504702756296286e+00,2.645285599104318930e-01,-2.144943629251412798e+00
3.565489082955633493e-02,-1.909246504858748805e+00,2.160637947074881271e-01,-2.697055255319769529e+00
1.393128380766249161e-02,-2.715235704538050410e-01,1.567299212952966148e-01,-3.235534249374377058e+00
-3.099052220268792499e-03,-1.433318185190391780e+00,9.590486965764902227e-02,-2.846864298151098094e+00
-1.808844834965526310e-02,-6.701745061062913678e-02,3.438798647182023105e-02,-3.304620461916549345e+00
-1.042790787303540974e-02,8.334383584617284235e-01,-3.473391864480990243e-02,-3.607561631479053510e+00
1.069153093970758722e-02,1.281881880526033690e+00,-1.083776994136602112e-01,-3.757093524623233094e+00
5.275776106200699006e-02,2.946338931384428150e+00,-1.888992218779255716e-01,-4.296781718190786137e+00
1.257486033835123196e-01,4.443362964263508630e+00,-2.788555676719861598e-01,-4.706254844923177139e+00
2.466076543485226646e-01,8.476383369086136099e+00,-3.796356100835013847e-01,-5.000000000000000000e+00
4.947617696738308979e-01,8.298378693893020852e+00,-4.844953448107914284e-01,-4.799948247487034969e+00
6.234294994088542818e-01,5.344003397543271916e+00,-5.776569284346535493e-01,-4.584844741568053550e+00
