Angle (rad),Angular Velocity (rad/s)
2.982104185604138369e+00,-1.816482980996359409e+00
2.940266467952553420e+00,-2.395141818810706091e+00
2.914588878548969753e+00,-6.940549249373884066e-02
2.919925837917069167e+00,5.952882780563232279e-01
2.916524058572822042e+00,-9.437301071482443460e-01
2.900398716036761027e+00,-6.561349637974854820e-01
2.918710811623650425e+00,2.372177930001901469e+00
2.978485373489711208e+00,3.518015158569881784e+00
3.039291462163222768e+00,2.613134197415469373e+00
3.100859574376005234e+00,3.529169447393991632e+00
3.187505663249142529e+00,5.168071831587306875e+00
3.299167657982186252e+00,6.144331810225628132e+00
3.470656087273371160e+00,1.613235618534006832e+01
3.714895391358499666e+00,7.910244969717607155e+00
3.850508396057121363e+00,6.010714816551480766e+00
3.965267654047739398e+00,5.516854228371291136e+00
4.070576387284136288e+00,5.055575857358184599e+00
4.169871444719002618e+00,4.888076044900594219e+00
4.266346442817250839e+00,4.770567253725549683e+00
4.361400425578593421e+00,4.741166845775715899e+00
4.456579790398700780e+00,4.780041624618266205e+00
4.552351888874983210e+00,4.804167094907441538e+00
4.649243094070430793e+00,4.889220522254579926e+00
4.748068873461524397e+00,5.000832848133986985e+00
4.849770106269276404e+00,5.182634685016770604e+00
4.955553523306842401e+00,5.407966921744060684e+00
5.066255616003816797e+00,5.675919972670524949e+00
5.185047921459048581e+00,6.241669858262356207e+00
5.316556483974455460e+00,6.966170561695912866e+00
5.465993590753834397e+00,8.095702549044279550e+00
5.652633635938676626e+00,1.114445389962634891e+01
6.077276771164465075e+00,2.000000000000000000e+01
6.406270452413417082e+00,1.612490181307305903e+01
6.847571754325267435e+00,1.325566564800930713e+01
7.060871672591924053e+00,9.203945240764559443e+00
7.223649560202316522e+00,7.317223581497272811e+00
7.361344392911015611e+00,6.519305848271697457e+00
7.487040387726316304e+00,6.078849950205262864e+00
7.604911912280064357e+00,5.729822598533410805e+00
7.716280074088313512e+00,5.428221344750836508e+00
7.822947261417636966e+00,5.251657252406545240e+00
7.926832297775805891e+00,5.150921053512071524e+00
8.029202184567809653e+00,5.094128349478800111e+00
8.130693325710184993e+00,5.060858044239982867e+00
8.232464451960350260e+00,5.127211260178145658e+00
8.336796163822706163e+00,5.324644142695661664e+00
8.446870634731094896e+00,5.716821541591164291e+00
8.565188810458003843e+00,6.155969977687616890e+00
8.697837650943631260e+00,7.242706086604451698e+00
8.860640984449174695e+00,9.503981592614524132e+00
9.170658858394814317e+00,1.313353271735969585e+01
9.365437516028377374e+00,8.021221653728266787e+00
9.513302558749172633e+00,6.952776050049833678e+00
9.679216546500459373e+00,1.079096472111244864e+01
9.928467807499481879e+00,6.538182387650910421e+00
1.003015380568942838e+01,4.182175091983813431e+00
1.011333648637792670e+01,4.136307024722574610e+00
1.018820579758376788e+01,3.414926184470406412e+00
1.025433912253825142e+01,3.213402287457840512e+00
1.031805753197505204e+01,3.163107812114437589e+00
1.038136722426568603e+01,3.169537818309458466e+00
1.044490268184387105e+01,3.185535186606807567e+00
1.051001333801741922e+01,3.321564365390750950e+00
1.057687583856395896e+01,3.365681703228957211e+00
1.064499127083896646e+01,3.445628453690050552e+00
1.071446181020007060e+01,3.502968862768260028e+00
1.078554242159674281e+01,3.604813806742025672e+00
1.085788724777394521e+01,3.635643421675877729e+00
1.093124435407199968e+01,3.705636507076268238e+00
1.100634319183001608e+01,3.810285174719635570e+00
1.108384013575326854e+01,3.943733909012412386e+00
1.116424854986399673e+01,4.102154815605540072e+00
1.124878691256007457e+01,4.363925132028260379e+00
1.133927851742878445e+01,4.701671047000125725e+00
1.143645639096278188e+01,5.031902467565817716e+00
1.154157152894501159e+01,5.507292047226458820e+00
1.165978981989850460e+01,6.383643334460920471e+00
1.180179432741181955e+01,8.005563633304106474e+00
