Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
9.042863209781938638e-02,5.653315384336188298e-01,-1.630608032619179030e-03,-1.632239545627982291e-01
1.001130323754866741e-01,4.038198021289921558e-01,-4.185975238661458417e-03,-9.239394647429614860e-02
9.658798479698078865e-02,-7.543793079714800065e-01,-2.181872967978019419e-03,2.925880336481422317e-01
7.262136054678411390e-02,-1.636832967851846954e+00,6.714323407920062652e-03,5.965627322981786884e-01
5.252761341360986935e-02,-3.843615663825230566e-01,1.469338036996073807e-02,2.023973044265922061e-01
4.291940354671010260e-02,-5.773350375487534825e-01,1.947443630102871706e-02,2.757800301339765059e-01
3.874104179585183966e-02,1.581302377719691066e-01,2.263732961768153557e-02,4.066347364516403884e-02
3.989079284118260404e-02,-4.299779556625102361e-02,2.419342745548374099e-02,1.149203552999152611e-01
2.534643594760507476e-02,-1.409975814613226852e+00,3.109620651532249425e-02,5.751821166306462230e-01
4.299462180729678173e-03,-6.994438441178563171e-01,4.026396109227217690e-02,3.420407403262666346e-01
-7.364532088712258048e-03,-4.686596267750786082e-01,4.632998159146183709e-02,2.647269181979842734e-01
-6.051789897978492039e-04,1.144948838539524338e+00,4.623318131883604604e-02,-2.743591860398965077e-01
8.452625872166868309e-03,-2.378773473124995430e-01,4.536881616443017712e-02,1.877336401780113073e-01
1.443467568225068054e-03,-4.639184988599500681e-01,4.988682079566117422e-02,2.641353433813058427e-01
8.364252293817124248e-03,1.156873391286506125e+00,4.977212140316872313e-02,-2.756004375916499827e-01
2.236402969272239041e-02,2.443565847668756064e-01,4.733475797182417483e-02,3.169687248257457846e-02
2.512470195264525710e-02,3.206217275342703593e-02,4.872202456007380944e-02,1.069858146945339566e-01
3.762618376416767413e-02,1.222039939083229942e+00,4.698143152908009629e-02,-2.813228679735337856e-01
5.074461881884330394e-02,8.858800596348515022e-02,4.518813286874136942e-02,1.020171806111631052e-01
4.822735432406671102e-02,-3.402889676064306812e-01,4.873765833228183020e-02,2.529126044134257234e-01
3.010569101543874443e-02,-1.470354212542398731e+00,5.762345837429620060e-02,6.355030208892675780e-01
-1.063428557622278503e-02,-2.610996554555472748e+00,7.416048220878870834e-02,1.018778962242307795e+00
-4.925276295185054831e-02,-1.252067972706221166e+00,8.992674933220878852e-02,5.580558844361815929e-01
-7.970327363134407928e-02,-1.804736006341431720e+00,1.026920944200104963e-01,7.194496581634844956e-01
-9.959779039536455214e-02,-1.726800688764469349e-01,1.116825600195761464e-01,1.787153281056008680e-01
-1.014307589562941925e-01,-1.077093614342303218e-02,1.145482698366075691e-01,1.078816774611415508e-01
-1.177219099106619760e-01,-1.636896589132809332e+00,1.215195262650504565e-01,5.907123667112232912e-01
-1.577737177648645683e-01,-2.404556699593739744e+00,1.350997815226396281e-01,7.703115388822787679e-01
-2.067742099750569384e-01,-2.521919104938378009e+00,1.500013314322251046e-01,7.220776865434359593e-01
-2.825436467034794785e-01,-5.680934819051023155e+00,1.688710734364323174e-01,1.217037223450923467e+00
-4.645090926645415452e-01,-6.350294611656543964e+00,1.980995117547004747e-01,1.179889314912954790e+00
-5.503857991063084709e-01,-2.995161200688935210e+00,2.215568557415883433e-01,1.232174540929707129e+00
