Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
1.722341234087779865e-02,1.389369148220350424e-02,-1.260846669916849272e-05,-1.262302413297474238e-03
8.369298486227957912e-03,-8.998186691293279527e-01,3.033620294721435951e-03,3.058895119854601607e-01
6.611390162220414160e-03,7.233493506929093986e-01,3.750095490335249564e-03,-2.340994820746916116e-01
2.117187703052933467e-02,7.348808751104899395e-01,-9.381536930516102971e-04,-2.349211648315552570e-01
3.609588288810786083e-02,7.598194462361581580e-01,-5.654747619698940499e-03,-2.369438954780382911e-01
3.992784946003280488e-02,-3.767094834367689105e-01,-6.557295699894783933e-03,1.466313667010534783e-01
3.271377936648879603e-02,-3.457496277053726530e-01,-3.654981888234809344e-03,1.436953881740441474e-01
2.605793008234644562e-02,-3.207853831424397062e-01,-8.058572816486762706e-04,1.413033229707202632e-01
8.243897993607937277e-03,-1.461356241762586272e+00,5.856768850093436660e-03,5.249798364382778360e-01
-2.098066232083213578e-02,-1.466692466507087955e+00,1.635130404120874875e-02,5.249630924931584230e-01
-3.661933544637824278e-02,-9.665357005570762716e-02,2.223872961272730514e-02,6.382708971424405631e-02
-3.885590294592172755e-02,-1.273207277031958573e-01,2.354224659159880398e-02,6.655291660855915115e-02
-4.172671438542377431e-02,-1.601721395167443884e-01,2.490214466823136019e-02,6.947365704364349970e-02
-4.528130297001681931e-02,-1.958031392243730628e-01,2.632284675659494338e-02,7.264269023134944936e-02
-4.958180968418486601e-02,-2.348828631033002545e-01,2.780990426011044001e-02,7.611980333852175207e-02
-5.470470398875421081e-02,-2.781799786657150331e-01,2.937014621103172657e-02,7.997339522395478795e-02
-6.074310750016281152e-02,-3.265979482988593530e-01,3.101187987307070515e-02,8.428347679664566217e-02
-6.780996091166363593e-02,-3.812252301400788079e-01,3.274516286287838113e-02,8.914591735122352756e-02
-8.087372983413118610e-02,-9.298646231848184396e-01,3.614070831223616803e-02,2.507855212079878604e-01
-9.786991214473188261e-02,-7.712955677718906777e-01,4.044756789682912163e-02,1.800579954632205992e-01
-1.117775180001907703e-01,-6.205510713567936598e-01,4.334846498385377250e-02,1.101484369924750628e-01
-1.305338873742047934e-01,-1.266697493748798919e+00,4.724243096644381579e-02,2.801986962718433505e-01
-1.385464771298549058e-01,4.748050268320342382e-01,4.735985852821133352e-02,-2.691317771712854467e-01
-1.277281072334195133e-01,6.076665024845382401e-01,4.129953334177367125e-02,-3.369553615545676784e-01
-1.142089483679907813e-01,7.451738482672696229e-01,3.387894843764066577e-02,-4.051845562724239458e-01
-9.787695112053959590e-02,8.893335729445024374e-01,2.508824186982898385e-02,-4.740019295525566001e-01
-8.347393313377050872e-02,5.556767154637531902e-01,1.647807577427918418e-02,-3.874320315250070479e-01
-7.067629706503998632e-02,7.251107914204812932e-01,8.019444722562720299e-03,-4.585191130178291052e-01
-5.917991204566740160e-02,4.274559786250110571e-01,-3.142778455873813243e-04,-3.751201767834217438e-01
-5.112861368567114817e-02,3.789380008009389789e-01,-7.768275173107137832e-03,-3.703936446746691202e-01
-5.576888423445322540e-02,-8.449302036404555682e-01,-1.126179204821748867e-02,2.114717656762973852e-02
-7.805639509326557646e-02,-1.391873692260732653e+00,-9.230671309846800315e-03,1.826254145801349260e-01
-1.044475541188218948e-01,-1.250551115564542570e+00,-6.274012314160324309e-03,1.133520927728950412e-01
-1.360325173739672655e-01,-1.929664333060951975e+00,-2.298201465694598919e-03,2.860221913458553811e-01
-1.573393412565999017e-01,-1.722560783110183014e-01,-2.062622099424990443e-03,-2.647257435502562428e-01
-1.595502505644645630e-01,-4.899261309883996135e-02,-8.025949236095926767e-03,-3.315807320931933311e-01
-1.424672108349505917e-01,1.731843605472769720e+00,-2.020012476175448574e-02,-8.836699166069380551e-01
-1.281420407566794817e-01,-2.735593990241520501e-01,-3.211671089525756917e-02,-3.102175714595922784e-01
-1.322046053743752003e-01,-1.329554798847011610e-01,-3.900570968027930463e-02,-3.786453258395593435e-01
-1.334675855383828935e-01,6.545832095400022643e-03,-4.726136136327622334e-02,-4.468983832168983428e-01
-1.319444731920522140e-01,1.457923819363183271e-01,-5.688108276344645137e-02,-5.150671324594017220e-01
-1.329325178774416472e-01,-2.449854399745661770e-01,-6.626564074210238020e-02,-4.233698553500478412e-01
-1.364551887020562237e-01,-1.075094200603745331e-01,-7.541371038040152464e-02,-4.914033579110005379e-01
-1.426394539213348134e-01,-5.139432811301317683e-01,-8.431393443878951177e-02,-3.983767746060850601e-01
-1.714260928925520899e-01,-2.424741873902218181e+00,-8.725621097606886534e-02,1.090523189362290479e-01
-2.015839560884473414e-01,-5.257546876596683738e-01,-9.064850047418564205e-02,-4.535655559976407014e-01
-2.079280447653712727e-01,-1.060726074776763839e-01,-1.012082545642822989e-01,-6.025926369595124843e-01
-2.126444569420896380e-01,-3.685193688382388810e-01,-1.130240864405046147e-01,-5.787436405638264336e-01
-2.228678127640994489e-01,-6.612532696855897285e-01,-1.243412746372964534e-01,-5.523492251713525425e-01
-2.643939828121698032e-01,-3.799696346627957855e+00,-1.295307406432046060e-01,5.902619462567104680e-02
-4.183549153832687439e-01,-5.568007921359030554e+00,-1.196037530502938040e-01,4.119488595098419470e-01
-4.887592553971500942e-01,-2.352982785978074975e+00,-1.137413888359838088e-01,2.504229365451408063e-01
-5.161038058897086112e-01,-5.171314613088338064e-01,-1.075312791221437886e-01,3.824839050585371880e-01
-5.364129346844740409e-01,-1.463575849895884629e+00,-1.030294601156838963e-01,6.335564972418022966e-02
