Angle (rad),Angular Velocity (rad/s)
2.993183968071582157e+00,-6.844181340038926198e-01
2.997557067781466245e+00,1.113659204548490322e+00
3.004824924652953033e+00,-3.786249156398463489e-01
3.006618390260912932e+00,5.561568124728968332e-01
3.034423220320702441e+00,2.189698315390988359e+00
3.063656968883493370e+00,7.525507815698933012e-01
3.067256502618834535e+00,-3.911943851807667127e-01
3.052794064839878363e+00,-1.057237575416846820e+00
3.027307291833354341e+00,-1.494985006983744480e+00
3.016494367567426949e+00,4.291057956377337668e-01
3.013159812217414579e+00,-7.646772422098281341e-01
2.985412479635030536e+00,-2.036951049252022639e+00
2.957253246419233150e+00,-7.353800743520031435e-01
2.963165118540615151e+00,1.310194015695913095e+00
2.990518881642236781e+00,1.418947816452356347e+00
3.009038377444593682e+00,4.459817819086521196e-01
3.032070414463095442e+00,1.832125230933491444e+00
3.071439352070636453e+00,2.098147414841796454e+00
3.115804800464296420e+00,2.335441418696835747e+00
3.160186863230440402e+00,2.102748987950509907e+00
3.218749070657891398e+00,3.782812705321346058e+00
3.315033647690651453e+00,6.057601475380931078e+00
3.434132902693507017e+00,6.001056010779397987e+00
3.467195080125168971e+00,-5.789488103885782166e+00
3.410659749656506978e+00,-1.078547710722192576e+00
3.360846701750880072e+00,-3.613962479395349092e+00
3.297660965364117125e+00,-2.783934058858380300e+00
3.242604455413288900e+00,-2.727831318154972706e+00
3.190746995221624083e+00,-2.465601600803799087e+00
3.148438668397928186e+00,-1.768838234526148412e+00
3.108433080549425576e+00,-2.231656619154491761e+00
3.070945553644056858e+00,-1.508242354473700475e+00
3.036221905621957262e+00,-1.969526732682545855e+00
3.007636158875554244e+00,-8.649877409625426061e-01
2.980419374429974066e+00,-1.878225800097063969e+00
2.949649404085999294e+00,-1.170175563832261734e+00
2.937992178594559967e+00,2.625664558869345022e-02
2.960171680125952332e+00,2.124476741495177734e+00
2.985811595171135480e+00,4.825867412559428082e-01
2.994090112322478792e+00,3.450431601895458389e-01
3.002322969406860942e+00,4.760102987514863715e-01
2.996936424875751737e+00,-1.020282332055961749e+00
2.980559051731733522e+00,-6.087792666206428560e-01
2.969958161801475427e+00,-4.477469730931226133e-01
2.974616606206614833e+00,9.055745891821640470e-01
2.976980159101567658e+00,-6.653081513597352004e-01
2.950214506974124351e+00,-2.051599400248787397e+00
2.894896758290887107e+00,-3.638351372292476960e+00
2.855354170265986813e+00,1.302610330668536598e-01
2.889571051549114866e+00,2.986635681416698773e+00
2.929241110771141354e+00,1.127291257625373744e+00
2.943750030844186405e+00,3.385243641776207735e-01
2.943041978391783609e+00,-4.097369411287019592e-01
2.923617436554120541e+00,-1.564145653808023173e+00
2.864004169992230509e+00,-4.871757538120204067e+00
2.693806987764709060e+00,-5.170274807435828457e+00
2.613100757983693345e+00,-3.384808886126585037e+00
2.555994252616001994e+00,-2.438462582522919142e+00
2.499030936127045077e+00,-3.188057624203750606e+00
2.440826328324818384e+00,-2.674742951431500426e+00
2.391530891071538267e+00,-2.280109048582969145e+00
2.341946971287259593e+00,-2.659702815690806688e+00
2.290542614182127679e+00,-2.491176314337451458e+00
2.239536350606076809e+00,-2.606089632006732160e+00
2.187775790564383982e+00,-2.573473403952141858e+00
2.134149885143245662e+00,-2.782398181959416128e+00
2.079166674475894983e+00,-2.720923417044859072e+00
2.023474607219078347e+00,-2.845828731832029668e+00
1.965763075716716823e+00,-2.925038546043016385e+00
1.905761082251779648e+00,-3.072219213864656240e+00
1.843204273878004784e+00,-3.182454825625762318e+00
1.778846443609989558e+00,-3.254803839038914681e+00
1.713461791107630416e+00,-3.288809411048647213e+00
1.646638528996657413e+00,-3.394370810874991484e+00
1.577588816875501010e+00,-3.510822006119190597e+00
1.506134037079779331e+00,-3.639099652914809191e+00
1.431827955301746114e+00,-3.796994948364975198e+00
1.354293234991958306e+00,-3.960947701671383214e+00
1.272385131161937855e+00,-4.241902361980542047e+00
1.185675461206439074e+00,-4.434913958914227905e+00
1.094186237264574979e+00,-4.726367829170011525e+00
9.967021330329469686e-01,-5.036323263475924961e+00
8.890231326456518035e-01,-5.785753333215772010e+00
7.654126077737973821e-01,-6.655961186351346370e+00
6.070733030270516473e-01,-9.741230659210081910e+00
2.227226151655798680e-01,-2.000000000000000000e+01
-9.706123542555210315e-02,-1.526880148010870819e+01
-5.758046991027231387e-01,-1.889438896245069444e+01
-8.607498044066699272e-01,-1.172548088341891770e+01
-1.071745666002145603e+00,-9.666739919194920816e+00
-1.253613140341658383e+00,-8.633939827890271701e+00
-1.421181484991747013e+00,-8.173261341295214422e+00
-1.582046270771210184e+00,-7.953680607531421032e+00
-1.740979235934710934e+00,-7.982910171740353000e+00
-1.902347145125479644e+00,-8.193773019885945530e+00
-2.071012644048530138e+00,-8.740352417431139997e+00
-2.255919657604646744e+00,-9.902319826516340129e+00
-2.485513816961024247e+00,-1.393717452641563703e+01
-2.982516218048640866e+00,-2.000000000000000000e+01
-3.379909147537815350e+00,-2.000000000000000000e+01
-3.819870172252333163e+00,-1.303324494559986846e+01
-4.045181343242512995e+00,-1.011379686138799627e+01
-4.231793509463183334e+00,-8.732096853258605407e+00
-4.399530092770824297e+00,-8.118382876609381071e+00
-4.559803657351835682e+00,-7.945742337258758781e+00
-4.718222578962598668e+00,-7.940565674959235487e+00
-4.878990246609300918e+00,-8.173372379895665674e+00
-5.047717941573101719e+00,-8.766679588246402588e+00
-5.232838219490966836e+00,-9.868974332091434931e+00
-5.451465946071342827e+00,-1.237961464053302940e+01
-5.769694892535204289e+00,-2.000000000000000000e+01
-6.249838434580254898e+00,-1.597995785808037894e+01
-6.663779762424812070e+00,-2.000000000000000000e+01
-6.833258539670629794e+00,-5.993527257464700497e+00
-6.938368613889236869e+00,-4.708027613096408714e+00
-7.025453256779650602e+00,-4.055416834628067235e+00
-7.098143607563342172e+00,-3.266073299344436798e+00
-7.159359420492872772e+00,-2.872830129588899606e+00
-7.213228985533842952e+00,-2.526363765969797281e+00
-7.263321068140206727e+00,-2.481256435960291995e+00
-7.311886869322867355e+00,-2.376153070010229129e+00
-7.358395677986391270e+00,-2.275332994527266894e+00
-7.400490174719934977e+00,-1.941847389503959853e+00
-7.436508984270704836e+00,-1.665073773316525507e+00
-7.469030155751316791e+00,-1.586836159485556674e+00
-7.499685852863145819e+00,-1.479145280780937988e+00
-7.528209888771431935e+00,-1.373548373966471337e+00
-7.553465627377866198e+00,-1.154454804510374188e+00
